#lambda_l=9.341990255701e-01, lambda_r=9.341990255701e-01
1.000000000000e+00 1.000000000000e+00
7.496325294095e-08 7.496275889284e-08
7.495298233150e-08 7.495311753186e-08
7.421333668434e-08 7.421698364163e-08
7.420431869163e-08 7.420048115085e-08
7.378706456850e-08 7.379141122211e-08
7.378088153385e-08 7.377670828105e-08
7.348225116161e-08 7.348156700406e-08
7.347285909764e-08 7.347324969011e-08
7.337459577185e-08 7.337188442791e-08
7.335016814561e-08 7.335267806322e-08
7.331728215259e-08 7.331798165069e-08
7.330290253947e-08 7.330583247312e-08
7.326254813815e-08 7.325459054258e-08
7.323620097477e-08 7.323855559594e-08
7.317894773198e-08 7.317970040163e-08
7.316704760742e-08 7.316577934633e-08
7.312323575849e-08 7.312607842630e-08
7.309408051185e-08 7.308817008448e-08
7.302634701613e-08 7.301697575089e-08
7.298833734454e-08 7.300001789483e-08
7.290167781239e-08 7.290101644298e-08
7.287944819515e-08 7.288142256944e-08
7.285605868882e-08 7.285048576131e-08
7.283278311531e-08 7.283707529570e-08
7.275892973500e-08 7.275234384361e-08
7.272970690887e-08 7.273670448671e-08
7.259793459228e-08 7.260037884507e-08
7.258930222435e-08 7.258644743792e-08
7.243719781368e-08 7.244018841808e-08
7.241555172979e-08 7.241623323679e-08
7.238000754874e-08 7.237537505961e-08
7.235006896362e-08 7.234204877196e-08
7.233838684711e-08 7.234193369428e-08
7.231850660464e-08 7.232654254618e-08
7.222190692058e-08 7.223156679164e-08
7.221355021621e-08 7.220550978675e-08
7.212650299367e-08 7.212766229581e-08
7.208744145867e-08 7.209060490733e-08
7.208197326501e-08 7.207938542795e-08
7.206505484960e-08 7.206289612255e-08
7.200951852407e-08 7.201482764902e-08
7.198155789627e-08 7.197314102523e-08
7.188740753372e-08 7.189978782403e-08
7.187681077839e-08 7.186187127085e-08
7.178008180606e-08 7.178056771617e-08
7.175880751187e-08 7.175950680099e-08
7.171717706293e-08 7.172361898611e-08
7.171094569618e-08 7.170305498648e-08
7.150983870975e-08 7.151467719371e-08
7.149377143706e-08 7.149138444135e-08
7.131857464153e-08 7.132361109926e-08
7.131131287072e-08 7.131104144942e-08
7.125302738052e-08 7.125792831096e-08
7.122588309334e-08 7.121860304697e-08
7.114075655643e-08 7.113428251722e-08
7.109038358987e-08 7.109590389096e-08
7.084571381249e-08 7.084366458983e-08
7.082810398128e-08 7.082447224572e-08
7.081612595669e-08 7.081975303235e-08
7.079298987582e-08 7.079742420053e-08
7.055941254982e-08 7.056107098784e-08
7.055016048920e-08 7.054901101889e-08
7.042784427059e-08 7.042744037680e-08
7.039350878066e-08 7.039421330099e-08
7.006454610234e-08 7.006456681443e-08
7.001493276106e-08 7.001544336926e-08
6.995743584776e-08 6.995532620654e-08
6.992491917238e-08 6.992854877996e-08
6.987858225342e-08 6.987829592700e-08
6.987173801875e-08 6.987052531193e-08
6.983975533114e-08 6.983822488611e-08
6.979607315226e-08 6.979344382325e-08
6.965280800502e-08 6.965333611793e-08
6.964699434666e-08 6.965124901045e-08
6.962286203489e-08 6.961828441846e-08
6.961682431641e-08 6.961688391225e-08
6.955649780766e-08 6.955858294324e-08
6.953061932505e-08 6.953167854686e-08
6.950480563202e-08 6.950310647683e-08
6.950263156740e-08 6.950014358116e-08
6.943199926980e-08 6.943108819052e-08
6.939556955736e-08 6.940013564792e-08
6.937481654156e-08 6.937124865874e-08
6.931881369882e-08 6.931764971610e-08
6.927895171585e-08 6.928188758191e-08
6.924229531554e-08 6.924359549001e-08
6.922145144972e-08 6.922114209057e-08
6.917179156786e-08 6.917192442722e-08
6.912886072790e-08 6.912595569411e-08
6.910485285825e-08 6.910687564989e-08
6.910227680208e-08 6.910451472198e-08
6.909629270986e-08 6.909440936908e-08
6.898437679217e-08 6.898309237384e-08
6.895551572654e-08 6.895562179570e-08
6.890769714711e-08 6.890840994495e-08
6.890283347555e-08 6.890068088871e-08
6.889132676041e-08 6.889235636608e-08
6.887609645329e-08 6.888317746895e-08
6.885019596978e-08 6.885469599581e-08
6.883843281657e-08 6.882959759151e-08
6.877230733276e-08 6.876612710191e-08
6.875746201766e-08 6.875806271541e-08
6.872054904217e-08 6.872327496605e-08
6.869504891761e-08 6.869290200090e-08
6.866412879415e-08 6.865206943667e-08
6.861932760671e-08 6.863194409858e-08
6.846922971997e-08 6.846785047696e-08
6.843456593401e-08 6.843518698946e-08
6.841974941703e-08 6.841937103896e-08
6.839322499494e-08 6.839507906540e-08
6.833119191062e-08 6.833007282012e-08
6.830874170076e-08 6.830481712758e-08
6.828176981683e-08 6.828414775430e-08
6.826366859057e-08 6.826313822270e-08
6.810682161018e-08 6.810758381986e-08
6.808635492365e-08 6.809303857222e-08
6.805467000665e-08 6.805365262972e-08
6.801463089663e-08 6.801170407650e-08
6.800179763012e-08 6.800666172826e-08
6.796116001373e-08 6.795278324816e-08
6.787097909779e-08 6.787112352483e-08
6.781921489345e-08 6.781857923844e-08
6.775859432316e-08 6.776721358359e-08
6.774649252019e-08 6.774549997107e-08
6.769440851997e-08 6.768448618747e-08
6.762491488538e-08 6.762468409266e-08
6.762103096977e-08 6.762049185626e-08
6.754422286416e-08 6.755731605909e-08
6.752969797298e-08 6.751966824133e-08
6.751191255947e-08 6.751253205627e-08
6.740942901532e-08 6.741115667172e-08
6.738263791788e-08 6.738304346512e-08
6.728908047777e-08 6.729193950724e-08
6.726637884802e-08 6.726585031901e-08
6.724034677917e-08 6.723666083189e-08
6.722852061934e-08 6.722321955103e-08
6.719356719800e-08 6.721001381636e-08
6.717485286012e-08 6.716802637076e-08
6.704150949698e-08 6.704346316321e-08
6.694990652172e-08 6.694555580781e-08
6.690492330001e-08 6.690525406410e-08
6.687367395971e-08 6.687068829876e-08
6.686399091000e-08 6.686214722077e-08
6.677957101963e-08 6.678338592407e-08
6.671741484317e-08 6.671742184061e-08
6.666135646477e-08 6.666359666109e-08
6.641839467567e-08 6.642341043875e-08
6.641037851597e-08 6.642022877347e-08
6.638034415082e-08 6.636893689426e-08
6.636686737204e-08 6.636328416836e-08
6.620807661049e-08 6.621608967437e-08
6.617155081910e-08 6.616357978485e-08
6.614861053965e-08 6.616305386825e-08
6.611377499035e-08 6.610760418236e-08
6.601265840769e-08 6.601549371044e-08
6.598085432318e-08 6.597172535205e-08
6.577994026192e-08 6.577863371224e-08
6.575226216568e-08 6.575461119110e-08
