#lambda_l=9.984226354932e-01, lambda_r=9.984226354932e-01
1.000000000000e+00 1.000000000000e+00
1.146028108959e-12 1.143813186371e-12
1.111301976780e-12 1.114672879982e-12
9.538010623916e-13 9.605494806013e-13
8.886655026540e-13 8.914938731559e-13
7.468218335642e-13 7.574059282296e-13
7.141253726726e-13 7.240935356900e-13
6.823200570131e-13 6.846622132771e-13
6.682200602866e-13 6.710039952311e-13
6.670179292118e-13 6.638423955209e-13
6.405875245102e-13 6.365833361410e-13
6.072897425570e-13 6.142818320001e-13
5.936574840384e-13 5.896320091032e-13
5.654385333162e-13 5.689871570216e-13
5.148855202414e-13 5.183208362560e-13
4.929939197203e-13 4.902543045401e-13
4.928231403872e-13 4.824389820288e-13
4.656651493648e-13 4.602997320868e-13
4.476337928471e-13 4.498929761842e-13
4.153845122452e-13 4.138185946034e-13
4.046157411025e-13 4.045711069737e-13
3.996496595066e-13 3.936637522564e-13
3.445252492842e-13 3.435885696595e-13
3.443104117679e-13 3.419195849453e-13
3.396353695981e-13 3.368020531467e-13
