#lambda_l=8.425609523716e-02, lambda_r=8.425609526112e-02
1.000000000000e+00 1.000000000000e+00
4.827326683999e-02 4.827326831362e-02
4.827280623388e-02 4.827280684930e-02
4.818358174260e-02 4.818358748698e-02
4.818347752384e-02 4.818347619175e-02
4.811861392339e-02 4.811861065646e-02
4.811810302288e-02 4.811810363460e-02
4.811405824517e-02 4.811405820136e-02
4.811370132397e-02 4.811369595481e-02
4.772597364894e-02 4.772597409599e-02
4.771941760495e-02 4.771941819765e-02
4.763833209775e-02 4.763833322150e-02
4.763163371833e-02 4.763163216486e-02
4.762798901188e-02 4.762798883345e-02
4.762359714353e-02 4.762359941801e-02
4.762155515013e-02 4.762155523184e-02
4.761702661963e-02 4.761702528895e-02
8.995138888194e-03 8.995079607012e-03
8.989040105187e-03 8.989098582779e-03
5.255359406344e-03 5.255253208753e-03
5.254980825771e-03 5.255088900908e-03
4.448756941394e-03 4.448532553694e-03
4.447705110720e-03 4.447928801984e-03
3.938869942514e-03 3.938645150381e-03
3.937953573761e-03 3.938179910790e-03
3.005211031276e-03 3.005092642872e-03
3.004341770484e-03 3.004462070212e-03
2.666405159213e-03 2.666273242107e-03
2.665644912217e-03 2.665779705103e-03
2.481352582821e-03 2.481333220928e-03
2.477466374605e-03 2.477484376297e-03
2.429726902233e-03 2.429724521722e-03
2.429125615976e-03 2.429124569201e-03
2.320152666576e-03 2.320152030992e-03
2.319734396858e-03 2.319732360322e-03
2.308809400374e-03 2.308807716067e-03
2.297976655926e-03 2.297979793149e-03
2.164440105342e-03 2.164437735251e-03
2.164033313252e-03 2.164033099898e-03
2.078148025743e-03 2.078065937585e-03
2.077772231655e-03 2.077855148187e-03
1.801314241400e-03 1.801246736831e-03
1.800816194426e-03 1.800885681002e-03
1.747905476308e-03 1.747903686941e-03
1.739639145569e-03 1.739640887868e-03
1.693168698312e-03 1.693160585885e-03
1.688151067859e-03 1.688154554550e-03
1.635686197843e-03 1.635685145594e-03
1.634565550782e-03 1.634569131763e-03
1.617221520543e-03 1.617220316074e-03
1.614029874498e-03 1.614027250449e-03
1.613533203058e-03 1.613531123910e-03
1.603205545232e-03 1.603209881888e-03
1.599738042523e-03 1.599736488418e-03
1.596986190710e-03 1.596983756991e-03
1.596695156631e-03 1.596692996710e-03
1.596562135689e-03 1.596560473295e-03
1.595753564094e-03 1.595751636142e-03
1.564485444487e-03 1.564484428009e-03
1.563933239857e-03 1.563931841330e-03
1.496416490352e-03 1.496497688420e-03
1.494233280203e-03 1.494146629445e-03
1.459114582830e-03 1.459113994694e-03
1.459071982809e-03 1.459070761473e-03
1.307399496154e-03 1.307401296003e-03
1.294689636748e-03 1.294689185704e-03
1.289510092968e-03 1.289492350094e-03
1.288111178061e-03 1.288129167603e-03
1.158622172716e-03 1.158622496952e-03
1.136485866211e-03 1.136484913596e-03
1.130106050555e-03 1.130103560313e-03
1.130087127181e-03 1.130092202515e-03
1.095565895199e-03 1.095548557758e-03
1.094142055625e-03 1.094160348416e-03
9.774146653469e-04 9.774127183563e-04
9.774057151883e-04 9.774060915943e-04
8.903611530759e-04 8.903424707850e-04
8.888795868024e-04 8.888992798027e-04
8.888213465777e-04 8.887808442113e-04
8.877286987891e-04 8.877729283785e-04
7.937430250025e-04 7.937433122681e-04
7.932531782358e-04 7.932527838082e-04
7.583884670779e-04 7.583890035775e-04
7.570971277240e-04 7.570939428049e-04
7.077380026135e-04 7.077389077603e-04
7.074766105100e-04 7.074773069064e-04
6.870485803352e-04 6.870211471228e-04
6.856952845541e-04 6.857235640287e-04
6.643730743908e-04 6.643922559208e-04
6.642797531357e-04 6.642599925972e-04
6.406720568782e-04 6.406692539064e-04
6.238253012998e-04 6.238288151235e-04
5.866413907656e-04 5.866412166909e-04
5.678726427911e-04 5.678725897148e-04
4.701996237456e-04 4.701711829181e-04
4.692016661816e-04 4.692299889097e-04
4.244448719413e-04 4.244448074117e-04
4.080247187496e-04 4.080252743993e-04
3.740060721319e-04 3.740058767362e-04
3.332446171239e-04 3.332433508581e-04
3.224305842344e-04 3.224320865372e-04
3.209925533804e-04 3.209851623630e-04
3.179792271807e-04 3.179868583697e-04
3.149910847248e-04 3.149854525451e-04
3.138709125576e-04 3.138769059016e-04
3.103867558735e-04 3.103749239132e-04
3.093458198750e-04 3.093579759041e-04
3.012210826713e-04 3.012205144297e-04
3.012007149593e-04 3.012031562715e-04
2.995011244047e-04 2.995018247672e-04
2.994422518582e-04 2.994436670252e-04
2.955354595458e-04 2.955332787865e-04
2.954605660240e-04 2.954627619754e-04
2.944559360186e-04 2.944560796791e-04
2.943415981965e-04 2.943416119456e-04
2.906703847125e-04 2.906715041675e-04
2.888238259607e-04 2.888256924889e-04
2.886862533587e-04 2.886852631560e-04
2.884520333656e-04 2.884536543351e-04
2.883466015399e-04 2.883461199706e-04
2.860275476445e-04 2.860257425407e-04
2.859619785979e-04 2.859623687596e-04
2.856001691629e-04 2.855972175908e-04
2.855506995597e-04 2.855526017030e-04
2.731293847958e-04 2.731309697085e-04
2.730538037020e-04 2.730540160337e-04
2.720606684075e-04 2.720623673956e-04
2.719778880792e-04 2.719775103209e-04
2.682334249190e-04 2.682357449431e-04
2.682061450413e-04 2.682028341678e-04
2.678350157841e-04 2.678377546443e-04
2.678018668588e-04 2.677979236846e-04
2.586359873959e-04 2.586367569976e-04
2.577120971077e-04 2.577127794649e-04
2.461952908997e-04 2.461961159208e-04
2.418808267799e-04 2.418820672396e-04
2.361335805902e-04 2.361338094176e-04
2.348098411766e-04 2.348096116508e-04
2.302032666072e-04 2.302034905005e-04
2.214877016245e-04 2.214878324704e-04
2.092735791448e-04 2.092689808358e-04
2.092154936995e-04 2.092193939056e-04
2.090740691053e-04 2.090722357732e-04
2.089858796443e-04 2.089870656091e-04
2.064262761643e-04 2.064250634435e-04
2.063723148785e-04 2.063751027344e-04
2.050834609033e-04 2.050830367827e-04
2.050174747297e-04 2.050196463537e-04
2.025307407305e-04 2.025341052602e-04
2.018045786585e-04 2.018000237146e-04
1.998047785212e-04 1.998063660654e-04
1.977000704993e-04 1.976990034180e-04
1.962409553283e-04 1.962453259446e-04
1.957629302299e-04 1.957647210299e-04
1.951825216729e-04 1.951793123047e-04
1.938677908737e-04 1.938654803025e-04
1.765394231259e-04 1.765411818436e-04
1.744423315989e-04 1.744412521085e-04
1.707998098533e-04 1.707961581782e-04
1.707774213626e-04 1.707819578613e-04
1.652361162034e-04 1.652369142542e-04
1.645296906273e-04 1.645304810622e-04
1.632788867313e-04 1.632812500969e-04
1.632288435995e-04 1.632283697239e-04
1.620386880117e-04 1.620399574136e-04
1.616833488931e-04 1.616831633042e-04
1.604041310966e-04 1.604050554548e-04
1.603709426627e-04 1.603709664424e-04
1.502564132256e-04 1.502570713521e-04
1.499777073096e-04 1.499781007522e-04
1.492534734253e-04 1.492542754353e-04
1.490975681592e-04 1.490978979327e-04
1.358628825996e-04 1.358680152326e-04
1.335842480654e-04 1.335786684348e-04
1.314339251277e-04 1.314304031004e-04
1.311045364838e-04 1.311086216620e-04
1.296427799267e-04 1.296429916005e-04
1.294669113574e-04 1.294678017353e-04
1.281881157564e-04 1.281883236052e-04
1.276628290866e-04 1.276655173496e-04
1.245900891566e-04 1.245777090479e-04
1.244297038883e-04 1.244242976525e-04
1.242193839798e-04 1.242323497127e-04
1.230767549099e-04 1.230736682798e-04
1.193206505267e-04 1.193247073836e-04
1.183651614163e-04 1.183699485302e-04
1.181507669935e-04 1.181447633257e-04
1.179579041181e-04 1.179598541863e-04
1.168288324247e-04 1.168291738995e-04
1.167993023002e-04 1.168017311386e-04
1.166560546731e-04 1.166537790229e-04
1.148566223020e-04 1.148563184171e-04
1.143133810551e-04 1.143210771438e-04
1.135226417752e-04 1.135160746232e-04
1.124019857070e-04 1.123892020843e-04
1.110255094535e-04 1.110586789989e-04
1.109827519403e-04 1.109489041445e-04
1.099825828390e-04 1.099805922227e-04
1.096100819037e-04 1.096212517555e-04
1.075584796347e-04 1.075592664016e-04
1.070626721525e-04 1.070634660613e-04
1.061182381076e-04 1.061156339256e-04
1.060384284429e-04 1.060407073905e-04
1.053638381145e-04 1.053681993698e-04
1.050612104999e-04 1.050495376149e-04
1.047943772105e-04 1.048022270705e-04
1.047143523035e-04 1.047172121768e-04
1.006061783625e-04 1.006102306832e-04
1.004180634267e-04 1.004169859129e-04
1.002397781286e-04 1.002408150839e-04
1.002041370693e-04 1.002040803937e-04
1.000526649957e-04 1.000528274226e-04
9.942774481192e-05 9.942628965670e-05
9.921467511755e-05 9.921450289367e-05
9.899986317798e-05 9.900428978635e-05
9.899748946370e-05 9.899366477441e-05
9.897004491117e-05 9.896598634497e-05
9.867411080695e-05 9.867901862763e-05
9.855267650883e-05 9.855013728985e-05
9.830869548814e-05 9.830992343530e-05
9.828471638089e-05 9.828382500434e-05
9.827419423421e-05 9.827659608231e-05
9.821900860545e-05 9.822061029446e-05
9.607398049670e-05 9.607798512641e-05
9.592966100521e-05 9.593348844299e-05
9.589193755561e-05 9.589090692565e-05
9.470184056509e-05 9.469762122431e-05
9.465214375403e-05 9.465039668858e-05
9.383620926626e-05 9.383893598101e-05
9.351972924371e-05 9.352124336567e-05
9.311186801267e-05 9.311603565182e-05
9.306739643748e-05 9.306342987529e-05
9.267629826811e-05 9.267152387940e-05
9.258463362661e-05 9.258795585010e-05
9.243470846999e-05 9.243879417693e-05
9.235166481475e-05 9.234472370038e-05
8.879603780800e-05 8.879202663677e-05
8.858921564618e-05 8.859294001811e-05
8.689623107939e-05 8.689581298470e-05
8.683026221716e-05 8.682987753852e-05
8.295863792023e-05 8.295318929473e-05
8.290868143570e-05 8.290366635658e-05
8.261557408820e-05 8.261608267365e-05
