#lambda_l=2.272462929312e-01, lambda_r=2.272462929336e-01
1.000000000000e+00 1.000000000000e+00
5.882527427493e-04 5.882527595276e-04
5.882522037476e-04 5.882521839913e-04
5.855529498676e-04 5.855526102840e-04
5.855479175542e-04 5.855480696332e-04
5.848780992388e-04 5.848772627387e-04
5.848704515239e-04 5.848715151883e-04
5.847958599662e-04 5.847957749860e-04
5.847941304602e-04 5.847942533382e-04
5.843266430428e-04 5.843264674522e-04
5.843231562893e-04 5.843233536683e-04
5.829487088079e-04 5.829478528279e-04
5.829410083232e-04 5.829420746411e-04
5.826336562783e-04 5.826324904302e-04
5.826148024230e-04 5.826158733838e-04
5.823059234850e-04 5.823049245336e-04
5.822815760318e-04 5.822826778664e-04
5.822187964875e-04 5.822189422751e-04
5.822024155126e-04 5.822017323758e-04
5.815009994371e-04 5.815012871606e-04
5.814952654196e-04 5.814951096503e-04
5.814881400513e-04 5.814885966858e-04
5.814691993283e-04 5.814692664952e-04
5.813307207001e-04 5.813282799924e-04
5.813071577402e-04 5.813090572277e-04
5.810164940530e-04 5.810163852529e-04
5.810013860315e-04 5.810018792934e-04
5.809113721439e-04 5.809132950075e-04
5.809038806620e-04 5.809015189684e-04
5.806227994221e-04 5.806235739744e-04
5.806113369113e-04 5.806113307126e-04
5.803537428735e-04 5.803530592609e-04
5.803377670910e-04 5.803387839323e-04
5.803267401413e-04 5.803262662785e-04
5.802855282620e-04 5.802859603177e-04
5.799625187449e-04 5.799649899900e-04
5.799565714549e-04 5.799546292936e-04
5.799562144551e-04 5.799538146729e-04
5.799307416014e-04 5.799321741906e-04
5.798988581724e-04 5.799006594961e-04
5.798892088481e-04 5.798858244409e-04
5.798344296836e-04 5.798360910364e-04
5.798250739749e-04 5.798240716469e-04
5.797421642667e-04 5.797423361594e-04
5.797364652851e-04 5.797361188674e-04
5.793908186347e-04 5.793921008493e-04
5.793776918784e-04 5.793763484855e-04
5.793429071848e-04 5.793431903488e-04
5.793381967238e-04 5.793380775070e-04
5.792394280881e-04 5.792398947666e-04
5.792139151549e-04 5.792146463558e-04
5.790726399793e-04 5.790715128273e-04
5.790482362843e-04 5.790482965317e-04
5.788250753272e-04 5.788275358112e-04
5.788135199218e-04 5.788164337080e-04
5.787394195005e-04 5.787344066208e-04
5.787304071823e-04 5.787304259337e-04
5.786125100280e-04 5.786135135150e-04
5.786092675551e-04 5.786073896895e-04
5.785003700982e-04 5.785005470758e-04
5.784865284829e-04 5.784862100768e-04
5.784440596749e-04 5.784409306917e-04
5.784334972822e-04 5.784372146321e-04
5.781767968952e-04 5.781761540230e-04
5.781534836704e-04 5.781537874649e-04
5.781234772917e-04 5.781240225044e-04
5.781199072770e-04 5.781195351736e-04
5.780535494050e-04 5.780531972581e-04
5.780275100338e-04 5.780273778810e-04
5.777939879628e-04 5.777940392140e-04
5.777853698872e-04 5.777854615793e-04
5.777152653138e-04 5.777151159250e-04
5.777111386623e-04 5.777113457532e-04
5.776782811636e-04 5.776775378537e-04
5.776732961361e-04 5.776735321078e-04
5.774462129573e-04 5.774456701994e-04
5.774394913097e-04 5.774394281318e-04
5.773796395601e-04 5.773797889123e-04
5.773726886428e-04 5.773735208186e-04
5.771714835557e-04 5.771718803620e-04
5.771676578160e-04 5.771674414135e-04
5.763666246254e-04 5.763668140920e-04
5.763549870164e-04 5.763549720363e-04
5.759074649604e-04 5.759079344219e-04
5.758777201170e-04 5.758773631462e-04
5.758141104275e-04 5.758140619330e-04
5.757893414799e-04 5.757893332853e-04
5.755361768409e-04 5.755362322284e-04
5.755342954932e-04 5.755342494211e-04
5.755168602901e-04 5.755164773511e-04
5.755115945828e-04 5.755117826248e-04
5.751794334019e-04 5.751790858428e-04
5.751622541159e-04 5.751636559916e-04
5.751085143600e-04 5.751085114124e-04
5.750856980549e-04 5.750860736712e-04
5.749788126578e-04 5.749808502534e-04
5.749738783151e-04 5.749725545600e-04
5.748875468727e-04 5.748874714638e-04
5.748799901744e-04 5.748794550779e-04
5.748238614814e-04 5.748240776875e-04
5.747766905560e-04 5.747756917656e-04
5.742032407804e-04 5.742036711803e-04
5.741446797053e-04 5.741440664091e-04
5.741249217219e-04 5.741273393826e-04
5.741143575606e-04 5.741125560933e-04
5.741038279401e-04 5.741041188350e-04
5.740481706023e-04 5.740485773732e-04
5.739428121691e-04 5.739403375177e-04
5.739374228989e-04 5.739391157482e-04
5.737216003315e-04 5.737226111021e-04
5.737036427393e-04 5.737030429859e-04
5.736948753550e-04 5.736953193044e-04
5.736852638249e-04 5.736848492306e-04
5.736116134710e-04 5.736116612804e-04
5.735731311537e-04 5.735730392122e-04
5.734929161519e-04 5.734927469897e-04
5.734415731854e-04 5.734414841180e-04
5.733891244462e-04 5.733893190430e-04
5.733811036301e-04 5.733811811028e-04
5.733658386946e-04 5.733664865289e-04
5.733174588859e-04 5.733176119178e-04
5.731144302023e-04 5.731112472699e-04
5.730962093227e-04 5.730925688522e-04
5.730713184943e-04 5.730725912407e-04
5.730491425690e-04 5.730534597000e-04
5.728671201981e-04 5.728721026494e-04
5.728619419867e-04 5.728587190487e-04
5.727339840012e-04 5.727328393385e-04
5.727071784829e-04 5.727065136672e-04
5.726706216544e-04 5.726704718624e-04
5.726516779121e-04 5.726516183620e-04
5.724681963160e-04 5.724682677550e-04
5.724605040574e-04 5.724606494126e-04
5.723752492517e-04 5.723783482381e-04
5.723549125460e-04 5.723515023778e-04
5.722419900882e-04 5.722408102580e-04
5.722231082393e-04 5.722242936290e-04
5.721360002516e-04 5.721361318894e-04
5.720883236237e-04 5.720883153519e-04
5.719635081446e-04 5.719637205935e-04
5.719469285140e-04 5.719469459274e-04
5.717037772352e-04 5.717036031947e-04
5.716965621300e-04 5.716963709324e-04
5.716501470278e-04 5.716504285428e-04
5.716078282969e-04 5.716076791645e-04
5.714232750169e-04 5.714228900998e-04
5.714205272388e-04 5.714211262091e-04
5.712437534209e-04 5.712435453647e-04
5.712370394345e-04 5.712371345042e-04
5.708250163489e-04 5.708248357686e-04
5.708120578795e-04 5.708122328537e-04
5.706085636257e-04 5.706084590870e-04
5.705946777570e-04 5.705946811989e-04
5.697109311683e-04 5.697098951812e-04
5.697056525452e-04 5.697065550264e-04
5.693450286373e-04 5.693449088402e-04
5.693360168681e-04 5.693358196683e-04
5.692227276033e-04 5.692221191148e-04
5.692186271564e-04 5.692193902447e-04
5.690943019766e-04 5.690944127030e-04
5.690891955091e-04 5.690891850787e-04
5.687081316912e-04 5.687083614128e-04
5.687029564064e-04 5.687028276895e-04
5.686958773964e-04 5.686960939444e-04
5.686907760184e-04 5.686905420149e-04
5.684507640695e-04 5.684507764759e-04
5.684439286235e-04 5.684437924331e-04
5.681455367069e-04 5.681453385034e-04
5.681228271630e-04 5.681229438671e-04
