#lambda_l=7.880714233446e-05, lambda_r=7.880714234039e-05
1.000000000000e+00 1.000000000000e+00
4.178704109328e-02 4.178703924799e-02
3.633559165530e-02 3.633559338976e-02
3.441719675327e-02 3.441719676924e-02
3.441709680496e-02 3.441709682093e-02
3.441706390165e-02 3.441706391762e-02
3.441703200935e-02 3.441703202532e-02
3.436941821137e-02 3.436941822732e-02
3.436941190170e-02 3.436941191766e-02
3.436857800066e-02 3.436857801662e-02
3.436856614358e-02 3.436856615953e-02
3.436842697382e-02 3.436842698976e-02
3.436841129326e-02 3.436841130925e-02
3.436835971224e-02 3.436835972810e-02
3.436830623211e-02 3.436830624813e-02
3.434141886987e-02 3.434141888581e-02
3.434141883828e-02 3.434141885422e-02
3.430142287170e-02 3.430142288762e-02
3.430062400321e-02 3.430062401895e-02
3.429945870511e-02 3.429945872104e-02
3.429844453896e-02 3.429844455483e-02
3.429581153053e-02 3.429581154645e-02
3.429491544802e-02 3.429491546395e-02
3.428729337968e-02 3.428729339561e-02
3.428654508278e-02 3.428654509875e-02
3.427862286319e-02 3.427862287912e-02
3.427768488170e-02 3.427768489734e-02
3.427047651423e-02 3.427047653016e-02
3.426938091075e-02 3.426938092671e-02
3.426532349236e-02 3.426532350825e-02
3.426471961704e-02 3.426471963302e-02
3.424891515636e-02 3.424891517226e-02
3.424886878080e-02 3.424886879670e-02
3.423598137141e-02 3.423598135294e-02
3.423588182364e-02 3.423588180517e-02
3.423584917278e-02 3.423584915432e-02
3.423581750859e-02 3.423581749012e-02
3.418845438456e-02 3.418845436612e-02
3.418844812635e-02 3.418844810791e-02
3.418761892958e-02 3.418761891114e-02
3.418760489292e-02 3.418760487449e-02
3.418746843175e-02 3.418746841333e-02
3.418745437025e-02 3.418745435177e-02
3.418739620325e-02 3.418739618492e-02
3.418732347377e-02 3.418732345527e-02
3.417693628908e-02 3.417693630493e-02
3.417032624852e-02 3.417032626332e-02
3.416789068176e-02 3.416789069763e-02
3.416394428113e-02 3.416394429609e-02
3.416060249815e-02 3.416060247973e-02
3.416060246525e-02 3.416060244683e-02
3.415721450484e-02 3.415721452061e-02
3.415264256420e-02 3.415264257900e-02
3.414156869372e-02 3.414156870962e-02
3.413616743345e-02 3.413616744908e-02
3.412509441189e-02 3.412509442724e-02
3.412081220148e-02 3.412081218333e-02
3.412018437702e-02 3.412018438318e-02
3.411992210150e-02 3.411992209133e-02
3.411876070703e-02 3.411876068955e-02
3.411768718905e-02 3.411768717095e-02
3.411516800662e-02 3.411516798847e-02
3.411402238870e-02 3.411402237050e-02
3.410674892625e-02 3.410674890813e-02
3.410583085045e-02 3.410583083212e-02
3.410235520991e-02 3.410235522525e-02
3.409812118136e-02 3.409812116507e-02
3.409713435820e-02 3.409713436267e-02
3.409691223912e-02 3.409691223079e-02
3.408998612220e-02 3.408998610406e-02
3.408867113414e-02 3.408867111589e-02
3.408493725097e-02 3.408493723375e-02
3.408400421243e-02 3.408400419420e-02
3.408283253761e-02 3.408283255168e-02
3.407819448566e-02 3.407819450181e-02
3.406858309627e-02 3.406858307790e-02
3.406852620981e-02 3.406852619143e-02
3.405627955177e-02 3.405627956767e-02
3.405174377636e-02 3.405174379278e-02
3.403016201905e-02 3.403016203484e-02
3.402442491109e-02 3.402442492506e-02
3.400539903981e-02 3.400539905577e-02
3.399832104799e-02 3.399832106377e-02
3.399698243661e-02 3.399698241832e-02
3.399035913420e-02 3.399035911733e-02
3.398783493174e-02 3.398783491399e-02
3.398385582116e-02 3.398385580532e-02
3.398024535546e-02 3.398024536475e-02
