#lambda_l=1.364415425147e-03, lambda_r=1.364415425147e-03
1.000000000000e+00 1.000000000000e+00
6.856372723968e-01 6.856372723968e-01
6.819618540929e-01 6.819618540929e-01
5.210373625041e-01 5.210373625041e-01
5.111921424392e-01 5.111921424392e-01
5.024178384231e-01 5.024178384231e-01
4.678520566386e-01 4.678520566386e-01
4.344947120416e-01 4.344947120416e-01
3.767379253731e-01 3.767379253731e-01
3.749640074356e-01 3.749640074356e-01
3.642667536685e-01 3.642667536685e-01
3.574057129562e-01 3.574057129562e-01
3.563815737899e-01 3.563815737899e-01
3.353569240038e-01 3.353569240038e-01
3.069409853269e-01 3.069409853269e-01
3.030177730296e-01 3.030177730296e-01
2.984661178428e-01 2.984661178428e-01
2.966720386202e-01 2.966720386202e-01
2.912456730267e-01 2.912456730267e-01
2.884761789609e-01 2.884761789609e-01
2.785490944109e-01 2.785490944109e-01
2.625322239688e-01 2.625322239688e-01
2.554935587426e-01 2.554935587426e-01
2.326569421825e-01 2.326569421825e-01
2.174763038828e-01 2.174763038828e-01
2.140946924984e-01 2.140946924984e-01
2.124404512062e-01 2.124404512062e-01
2.069405561222e-01 2.069405561222e-01
2.036344928522e-01 2.036344928522e-01
1.992718778471e-01 1.992718778471e-01
1.987742644346e-01 1.987742644346e-01
1.982141488902e-01 1.982141488902e-01
1.964841278994e-01 1.964841278994e-01
1.812803918460e-01 1.812803918460e-01
1.790925379691e-01 1.790925379691e-01
1.782822083726e-01 1.782822083726e-01
1.776215948024e-01 1.776215948024e-01
1.680317353258e-01 1.680317353258e-01
1.555869892576e-01 1.555869892576e-01
1.551924072491e-01 1.551924072491e-01
1.545280852752e-01 1.545280852752e-01
1.543691594125e-01 1.543691594125e-01
1.526026945632e-01 1.526026945632e-01
1.519409494569e-01 1.519409494569e-01
1.513367160597e-01 1.513367160597e-01
1.402612857844e-01 1.402612857844e-01
1.386388799517e-01 1.386388799517e-01
1.371344535273e-01 1.371344535273e-01
1.359828057714e-01 1.359828057714e-01
1.322102989985e-01 1.322102989985e-01
1.269295489065e-01 1.269295489065e-01
1.246214373254e-01 1.246214373254e-01
1.241697505157e-01 1.241697505157e-01
1.231466344883e-01 1.231466344883e-01
1.231391752069e-01 1.231391752069e-01
1.226532068732e-01 1.226532068732e-01
1.203257528928e-01 1.203257528928e-01
1.174840927503e-01 1.174840927503e-01
1.153289991330e-01 1.153289991330e-01
1.127412284571e-01 1.127412284571e-01
1.099262391605e-01 1.099262391605e-01
1.084045714219e-01 1.084045714219e-01
1.023557207865e-01 1.023557207865e-01
9.539007843215e-02 9.539007843215e-02
9.496597296346e-02 9.496597296346e-02
9.439123063333e-02 9.439123063333e-02
9.187387569029e-02 9.187387569029e-02
8.700313732231e-02 8.700313732231e-02
8.471368015059e-02 8.471368015059e-02
8.320583777108e-02 8.320583777108e-02
8.267426873409e-02 8.267426873409e-02
8.264875921214e-02 8.264875921214e-02
8.256665906722e-02 8.256665906722e-02
8.251947810374e-02 8.251947810374e-02
