#lambda_l=1.032355830209e+00, lambda_r=1.032355830209e+00
1.000000000000e+00 1.000000000000e+00
1.727034724930e-02 1.727034724930e-02
1.727034724930e-02 1.727034724930e-02
1.847350599980e-03 1.847350599980e-03
1.847350599980e-03 1.847350599980e-03
1.077795579881e-03 1.077795579881e-03
1.077795579881e-03 1.077795579881e-03
1.068458646201e-03 1.068458646201e-03
1.068458646201e-03 1.068458646201e-03
4.842045575501e-04 4.842045575501e-04
4.842045575501e-04 4.842045575501e-04
2.982648941199e-04 2.982648941199e-04
3.190438635378e-05 3.190438635378e-05
3.190438635378e-05 3.190438635378e-05
1.861390392884e-05 1.861390392884e-05
1.861390392884e-05 1.861390392884e-05
1.845265184193e-05 1.845265184193e-05
1.845265184193e-05 1.845265184193e-05
8.362380848826e-06 8.362380848826e-06
8.362380848826e-06 8.362380848826e-06
3.412704239346e-06 3.412704239346e-06
1.991066311207e-06 1.991066311207e-06
1.991066311207e-06 1.991066311207e-06
1.973817721170e-06 1.973817721170e-06
1.973817721170e-06 1.973817721170e-06
1.161643312045e-06 1.161643312045e-06
1.151580006194e-06 1.151580006194e-06
1.151580006194e-06 1.151580006194e-06
1.141603878674e-06 1.141603878674e-06
8.944955799295e-07 8.944955799295e-07
8.944955799295e-07 8.944955799295e-07
5.218735319011e-07 5.218735319011e-07
5.218735319011e-07 5.218735319011e-07
5.173525460594e-07 5.173525460594e-07
5.173525460594e-07 5.173525460594e-07
2.344540535592e-07 2.344540535592e-07
