#lambda_l=4.445373553640e-03, lambda_r=4.445373553640e-03
1.000000000000e+00 1.000000000000e+00
3.994124590773e-02 3.994124590773e-02
3.994124563125e-02 3.994124563125e-02
2.109261227902e-02 2.109261227902e-02
2.109261227875e-02 2.109261227875e-02
1.584703929987e-02 1.584703929987e-02
1.584695935326e-02 1.584695935326e-02
1.193487998723e-02 1.193487998723e-02
1.193487998693e-02 1.193487998693e-02
6.694656043866e-03 6.694656043866e-03
6.694656042860e-03 6.694656042860e-03
6.065007887926e-03 6.065007887926e-03
6.065007887926e-03 6.065007887926e-03
6.064388966182e-03 6.064388966182e-03
6.064388966181e-03 6.064388966181e-03
6.064302282961e-03 6.064302282961e-03
6.064302282961e-03 6.064302282961e-03
6.063140384800e-03 6.063140384800e-03
6.063140375514e-03 6.063140375514e-03
3.794793152465e-03 3.794793152465e-03
3.794793152244e-03 3.794793152244e-03
3.794791210670e-03 3.794791210670e-03
3.794791175696e-03 3.794791175695e-03
3.794791070402e-03 3.794791070402e-03
3.794790993017e-03 3.794790993017e-03
3.794790892846e-03 3.794790892846e-03
3.794790836374e-03 3.794790836374e-03
3.794656131892e-03 3.794656131892e-03
3.794655995342e-03 3.794655995342e-03
3.794654396277e-03 3.794654396277e-03
3.794653940851e-03 3.794653940851e-03
3.794651909426e-03 3.794651909426e-03
3.794651306575e-03 3.794651306575e-03
3.794650417439e-03 3.794650417439e-03
3.794650084854e-03 3.794650084854e-03
3.794541949297e-03 3.794541949297e-03
3.794541629940e-03 3.794541629940e-03
3.794538145036e-03 3.794538145036e-03
3.794537086399e-03 3.794537086399e-03
3.794532446647e-03 3.794532446647e-03
3.794530893535e-03 3.794530893535e-03
3.794528986996e-03 3.794528986996e-03
3.794528527921e-03 3.794528527921e-03
3.792774683991e-03 3.792774683991e-03
3.792774511824e-03 3.792774511824e-03
3.792773271888e-03 3.792773271888e-03
3.792773100377e-03 3.792773100377e-03
3.792761712905e-03 3.792761712905e-03
3.792761697791e-03 3.792761697791e-03
3.792760641533e-03 3.792760641533e-03
3.792760463791e-03 3.792760463791e-03
3.792760441301e-03 3.792760441301e-03
3.792760400314e-03 3.792760400314e-03
3.792760329925e-03 3.792760329925e-03
3.792760293769e-03 3.792760293768e-03
3.792760211022e-03 3.792760211022e-03
3.792760179829e-03 3.792760179829e-03
3.792760146547e-03 3.792760146547e-03
3.792760135778e-03 3.792760135778e-03
3.792759925927e-03 3.792759925927e-03
3.792759921244e-03 3.792759921244e-03
3.792759899552e-03 3.792759899552e-03
3.792759892691e-03 3.792759892691e-03
3.792759866376e-03 3.792759866376e-03
3.792759860449e-03 3.792759860449e-03
3.792759853245e-03 3.792759853245e-03
3.792759850454e-03 3.792759850454e-03
3.792759758653e-03 3.792759758653e-03
3.792759758289e-03 3.792759758289e-03
3.792759754794e-03 3.792759754794e-03
3.792759753564e-03 3.792759753564e-03
3.792759748337e-03 3.792759748337e-03
3.792759747542e-03 3.792759747542e-03
3.792759745709e-03 3.792759745709e-03
3.792759744705e-03 3.792759744705e-03
3.792759413664e-03 3.792759413664e-03
3.792759413636e-03 3.792759413636e-03
3.792759411658e-03 3.792759411658e-03
3.792759411320e-03 3.792759411320e-03
3.792759322222e-03 3.792759322222e-03
3.792759322068e-03 3.792759322068e-03
3.792759284753e-03 3.792759284753e-03
3.792759284702e-03 3.792759284702e-03
3.792759279775e-03 3.792759279775e-03
3.792759258625e-03 3.792759258625e-03
3.792759258559e-03 3.792759258559e-03
3.792759257163e-03 3.792759257163e-03
3.792759256357e-03 3.792759256357e-03
3.792759254837e-03 3.792759254837e-03
3.792759253483e-03 3.792759253483e-03
3.792759251184e-03 3.792759251184e-03
3.792759245368e-03 3.792759245368e-03
3.792759244557e-03 3.792759244557e-03
3.792759241334e-03 3.792759241334e-03
3.792759238800e-03 3.792759238800e-03
3.792759234478e-03 3.792759234478e-03
3.792759232438e-03 3.792759232438e-03
3.792759229154e-03 3.792759229154e-03
3.792759226501e-03 3.792759226501e-03
3.792759202095e-03 3.792759202095e-03
3.792759201502e-03 3.792759201502e-03
3.792759197336e-03 3.792759197336e-03
3.792759194981e-03 3.792759194981e-03
3.792759189162e-03 3.792759189162e-03
3.792759187551e-03 3.792759187551e-03
3.792759184514e-03 3.792759184514e-03
3.792759182569e-03 3.792759182569e-03
3.792758780254e-03 3.792758780254e-03
3.792758778319e-03 3.792758778319e-03
3.788042794627e-03 3.788042794627e-03
3.204365747275e-03 3.204365747275e-03
1.595831396284e-03 1.595831396284e-03
1.343703049750e-03 1.343703049750e-03
8.427779223169e-04 8.427779223169e-04
8.427779223111e-04 8.427779223111e-04
6.331893644266e-04 6.331893644266e-04
6.331892950536e-04 6.331892950536e-04
4.768733986275e-04 4.768733986275e-04
4.768733986185e-04 4.768733986185e-04
4.450896786569e-04 4.450896786569e-04
3.344026813301e-04 3.344026813301e-04
3.344026813282e-04 3.344026813282e-04
2.674938883555e-04 2.674938883555e-04
2.674938883168e-04 2.674938883168e-04
2.518480195251e-04 2.518480195251e-04
2.518480195221e-04 2.518480195221e-04
2.512421017795e-04 2.512421017795e-04
2.423376236886e-04 2.423376236886e-04
2.423376236872e-04 2.423376236872e-04
2.423128911228e-04 2.423128911228e-04
2.423128911214e-04 2.423128911214e-04
2.423094294300e-04 2.423094294300e-04
2.423094294286e-04 2.423094294286e-04
2.422630035989e-04 2.422630035989e-04
2.422630035956e-04 2.422630035956e-04
2.273467812266e-04 2.273467812266e-04
1.892173694656e-04 1.892173694656e-04
1.892173694622e-04 1.892173694622e-04
1.516273634235e-04 1.516273634235e-04
1.516273634226e-04 1.516273634226e-04
1.516272846030e-04 1.516272846030e-04
1.516272846022e-04 1.516272846022e-04
1.516272775601e-04 1.516272775601e-04
1.516272775592e-04 1.516272775592e-04
1.516272714564e-04 1.516272714564e-04
1.516272714555e-04 1.516272714555e-04
1.516218831097e-04 1.516218831097e-04
1.516218831088e-04 1.516218831088e-04
1.516218010135e-04 1.516218010135e-04
1.516218010126e-04 1.516218010126e-04
1.516216957331e-04 1.516216957331e-04
1.516216957322e-04 1.516216957322e-04
1.516216469347e-04 1.516216469347e-04
1.516216469338e-04 1.516216469338e-04
1.516173133712e-04 1.516173133712e-04
1.516173133703e-04 1.516173133703e-04
1.516171317362e-04 1.516171317362e-04
1.516171317353e-04 1.516171317353e-04
1.516168842365e-04 1.516168842365e-04
1.516168842357e-04 1.516168842357e-04
1.516167898049e-04 1.516167898049e-04
1.516167898040e-04 1.516167898040e-04
1.515467052768e-04 1.515467052768e-04
1.515467052759e-04 1.515467052759e-04
1.515466488872e-04 1.515466488872e-04
1.515466488864e-04 1.515466488864e-04
1.515461932586e-04 1.515461932586e-04
1.515461932577e-04 1.515461932577e-04
1.515461439491e-04 1.515461439491e-04
1.515461439482e-04 1.515461439482e-04
1.515461414058e-04 1.515461414058e-04
1.515461414049e-04 1.515461414049e-04
1.515461371391e-04 1.515461371391e-04
1.515461371382e-04 1.515461371382e-04
1.515461325794e-04 1.515461325794e-04
1.515461325785e-04 1.515461325785e-04
1.515461308290e-04 1.515461308290e-04
1.515461308281e-04 1.515461308281e-04
1.515461222645e-04 1.515461222645e-04
1.515461222636e-04 1.515461222636e-04
1.515461211219e-04 1.515461211219e-04
1.515461211211e-04 1.515461211211e-04
1.515461198284e-04 1.515461198284e-04
1.515461198276e-04 1.515461198275e-04
1.515461194415e-04 1.515461194415e-04
1.515461194406e-04 1.515461194406e-04
1.515461157563e-04 1.515461157563e-04
1.515461157554e-04 1.515461157554e-04
1.515461155818e-04 1.515461155818e-04
1.515461155809e-04 1.515461155809e-04
1.515461153263e-04 1.515461153263e-04
1.515461153254e-04 1.515461153254e-04
1.515461152388e-04 1.515461152388e-04
1.515461152379e-04 1.515461152379e-04
1.515461019792e-04 1.515461019792e-04
1.515461019783e-04 1.515461019783e-04
1.515461019220e-04 1.515461019220e-04
1.515461019211e-04 1.515461019211e-04
1.515460983307e-04 1.515460983307e-04
1.515460983299e-04 1.515460983299e-04
1.515460968151e-04 1.515460968151e-04
1.515460968142e-04 1.515460968142e-04
1.515460957923e-04 1.515460957923e-04
1.515460957914e-04 1.515460957914e-04
1.515460957317e-04 1.515460957317e-04
1.515460957308e-04 1.515460957308e-04
1.515460956194e-04 1.515460956194e-04
1.515460956185e-04 1.515460956185e-04
1.515460953836e-04 1.515460953836e-04
1.515460953827e-04 1.515460953827e-04
1.515460951935e-04 1.515460951935e-04
1.515460951926e-04 1.515460951926e-04
1.515460949351e-04 1.515460949351e-04
1.515460949342e-04 1.515460949342e-04
1.515460946828e-04 1.515460946828e-04
1.515460946819e-04 1.515460946819e-04
1.515460942493e-04 1.515460942493e-04
1.515460942484e-04 1.515460942484e-04
1.515460934849e-04 1.515460934849e-04
1.515460934840e-04 1.515460934840e-04
1.515460931982e-04 1.515460931982e-04
1.515460931973e-04 1.515460931973e-04
1.515460929043e-04 1.515460929043e-04
1.515460929034e-04 1.515460929034e-04
1.515460926398e-04 1.515460926398e-04
1.515460926389e-04 1.515460926389e-04
1.515460766096e-04 1.515460766096e-04
1.515460766087e-04 1.515460766087e-04
1.425048665387e-04 1.425048665387e-04
1.412698777348e-04 1.412698777348e-04
1.412698777154e-04 1.412698777154e-04
1.319577397961e-04 1.319577397961e-04
1.319577019460e-04 1.319577019460e-04
1.279847979596e-04 1.279847979596e-04
1.279847979579e-04 1.279847979579e-04
1.279717354228e-04 1.279717354228e-04
1.279717354212e-04 1.279717354212e-04
1.279699077498e-04 1.279699077498e-04
1.279699076153e-04 1.279699076153e-04
1.279453889857e-04 1.279453889857e-04
1.279453889841e-04 1.279453889841e-04
1.061382901292e-04 1.061382901292e-04
1.061382901140e-04 1.061382901140e-04
9.615708841093e-05 9.615708841093e-05
9.615708841026e-05 9.615708841026e-05
9.614727420937e-05 9.614727420937e-05
9.614727420872e-05 9.614727420872e-05
9.614590107559e-05 9.614590107559e-05
9.614590107493e-05 9.614590107493e-05
9.612747979356e-05 9.612747979356e-05
9.612747974936e-05 9.612747974936e-05
8.099817558156e-05 8.099817558151e-05
8.007835176539e-05 8.007835176539e-05
8.007835176438e-05 8.007835176438e-05
8.007831012596e-05 8.007831012596e-05
8.007831012495e-05 8.007831012495e-05
8.007830637638e-05 8.007830637638e-05
8.007830637536e-05 8.007830637536e-05
8.007830314611e-05 8.007830314611e-05
8.007830314510e-05 8.007830314510e-05
8.007545746512e-05 8.007545746512e-05
8.007545746411e-05 8.007545746411e-05
8.007541409391e-05 8.007541409392e-05
8.007541409290e-05 8.007541409290e-05
