#lambda_l=7.286936011471e-03, lambda_r=7.286936011471e-03
1.000000000000e+00 1.000000000000e+00
7.190432723493e-01 7.190432723493e-01
7.109168909203e-01 7.109168909203e-01
6.981819392429e-01 6.981819392429e-01
6.964357588816e-01 6.964357588816e-01
5.219137910005e-01 5.219137910005e-01
4.910584338082e-01 4.910584338082e-01
3.973949734718e-01 3.973949734718e-01
3.675095644732e-01 3.675095644732e-01
3.660077152578e-01 3.660077152578e-01
3.645576327984e-01 3.645576327984e-01
3.644852997993e-01 3.644852997993e-01
3.120169596814e-01 3.120169596814e-01
2.663637069834e-01 2.663637069834e-01
1.952492519157e-01 1.952492519157e-01
1.942605640896e-01 1.942605640896e-01
1.937394572008e-01 1.937394572008e-01
1.920297996467e-01 1.920297996467e-01
1.908334501235e-01 1.908334501235e-01
1.905441939991e-01 1.905441939991e-01
1.866779444920e-01 1.866779444920e-01
1.810083764112e-01 1.810083764112e-01
1.351638536308e-01 1.351638536308e-01
1.350240285175e-01 1.350240285175e-01
1.332037080344e-01 1.332037080344e-01
1.325216370673e-01 1.325216370673e-01
1.186749649962e-01 1.186749649962e-01
1.160966410402e-01 1.160966410402e-01
1.135579805571e-01 1.135579805571e-01
1.098178947961e-01 1.098178947961e-01
8.198991563275e-02 8.198991563275e-02
7.405200628005e-02 7.405200628005e-02
6.550843485118e-02 6.550843485118e-02
6.128607501890e-02 6.128607501890e-02
5.899868302721e-02 5.899868302721e-02
5.892568093736e-02 5.892568093736e-02
5.806583668779e-02 5.806583668779e-02
5.788224488864e-02 5.788224488864e-02
5.626173839739e-02 5.626173839739e-02
5.615702997728e-02 5.615702997728e-02
5.437980027965e-02 5.437980027965e-02
5.425538381424e-02 5.425538381424e-02
5.356150283013e-02 5.356150283013e-02
5.281319341757e-02 5.281319341757e-02
4.835571307969e-02 4.835571307969e-02
4.693194352059e-02 4.693194352059e-02
4.132070147452e-02 4.132070147452e-02
3.736262559144e-02 3.736262559144e-02
3.633839598497e-02 3.633839598497e-02
3.447477853215e-02 3.447477853215e-02
3.423964387496e-02 3.423964387496e-02
3.381979317290e-02 3.381979317290e-02
3.335344851300e-02 3.335344851300e-02
2.531419952740e-02 2.531419952740e-02
2.513968906649e-02 2.513968906649e-02
2.245881524992e-02 2.245881524992e-02
2.079401262985e-02 2.079401262985e-02
2.022156376879e-02 2.022156376879e-02
1.959892256449e-02 1.959892256449e-02
1.532745825618e-02 1.532745825618e-02
1.478238728305e-02 1.478238728305e-02
1.397054802136e-02 1.397054802136e-02
1.364940989318e-02 1.364940989318e-02
1.359256303562e-02 1.359256303562e-02
1.272379747360e-02 1.272379747360e-02
1.219610206595e-02 1.219610206595e-02
1.200550842898e-02 1.200550842898e-02
1.138130026243e-02 1.138130026243e-02
1.112545891077e-02 1.112545891077e-02
1.062720598458e-02 1.062720598458e-02
1.032056164683e-02 1.032056164683e-02
9.622288688012e-03 9.622288688012e-03
9.259668521204e-03 9.259668521204e-03
