#lambda_l=1.043334402302e+00, lambda_r=1.043334402302e+00
1.000000000000e+00 1.000000000000e+00
1.727034724955e-02 1.727034724955e-02
1.727034724955e-02 1.727034724955e-02
1.847350579564e-03 1.847350579564e-03
1.847350579564e-03 1.847350579564e-03
1.077795558547e-03 1.077795558547e-03
1.077795558547e-03 1.077795558547e-03
1.068458625052e-03 1.068458625052e-03
1.068458625052e-03 1.068458625052e-03
4.842045479603e-04 4.842045479603e-04
4.842045479603e-04 4.842045479603e-04
2.982648941202e-04 2.982648941202e-04
3.190438600073e-05 3.190438600073e-05
3.190438600073e-05 3.190438600073e-05
1.861390356014e-05 1.861390356014e-05
1.861390356014e-05 1.861390356014e-05
1.845265147642e-05 1.845265147642e-05
1.845265147642e-05 1.845265147642e-05
8.362380683087e-06 8.362380683087e-06
8.362380683087e-06 8.362380683087e-06
3.412704163814e-06 3.412704163814e-06
1.991066249734e-06 1.991066249734e-06
1.991066249734e-06 1.991066249734e-06
1.973817660229e-06 1.973817660229e-06
1.973817660229e-06 1.973817660229e-06
1.161643266024e-06 1.161643266024e-06
1.151579960572e-06 1.151579960572e-06
1.151579960572e-06 1.151579960572e-06
1.141603833447e-06 1.141603833447e-06
8.944955523018e-07 8.944955523018e-07
8.944955523018e-07 8.944955523018e-07
5.218735112200e-07 5.218735112200e-07
5.218735112200e-07 5.218735112200e-07
5.173525255573e-07 5.173525255573e-07
5.173525255573e-07 5.173525255573e-07
2.344540442654e-07 2.344540442654e-07
