#lambda_l=4.272969749647e-01, lambda_r=4.272969749647e-01
1.000000000000e+00 1.000000000000e+00
1.727052305116e-02 1.727052305116e-02
1.727052253398e-02 1.727052253398e-02
2.626366657961e-03 2.626366657961e-03
2.626366541376e-03 2.626366541376e-03
2.626366540612e-03 2.626366540612e-03
2.626366540604e-03 2.626366540604e-03
1.842631667830e-03 1.842631667830e-03
1.842631667800e-03 1.842631667800e-03
1.073094699594e-03 1.073094699594e-03
1.073094699594e-03 1.073094699594e-03
1.063798321569e-03 1.063798321569e-03
1.063798321569e-03 1.063798321569e-03
4.820971419757e-04 4.820971419757e-04
4.820946453462e-04 4.820946453462e-04
2.983620478538e-04 2.983620478538e-04
4.108036977910e-05 4.108036977910e-05
4.108036976430e-05 4.108036976430e-05
4.108036950133e-05 4.108036950133e-05
4.108036949788e-05 4.108036949788e-05
4.108036643335e-05 4.108036643335e-05
4.108036641804e-05 4.108036641804e-05
4.108036599618e-05 4.108036599618e-05
4.108036599265e-05 4.108036599265e-05
3.183303315239e-05 3.183303315239e-05
3.183303315237e-05 3.183303315237e-05
1.853864661600e-05 1.853864661600e-05
1.853864661593e-05 1.853864661593e-05
1.837804435695e-05 1.837804435695e-05
1.837804435683e-05 1.837804435683e-05
8.328654724959e-06 8.328654724959e-06
8.328628640463e-06 8.328628640462e-06
4.753094539475e-06 4.753094539475e-06
4.753093682518e-06 4.753093682517e-06
4.753088275048e-06 4.753088275048e-06
4.753087214763e-06 4.753087214763e-06
4.753050982296e-06 4.753050982296e-06
4.753050047116e-06 4.753050047116e-06
4.753047807174e-06 4.753047807174e-06
4.753044358689e-06 4.753044358689e-06
3.396385601951e-06 3.396385601951e-06
1.977962782261e-06 1.977962782261e-06
1.977962782170e-06 1.977962782170e-06
1.960827956950e-06 1.960827956950e-06
1.960827956871e-06 1.960827956871e-06
1.151913246294e-06 1.151913246294e-06
1.141933200958e-06 1.141933200958e-06
1.141933200106e-06 1.141933200106e-06
1.132041919096e-06 1.132041919096e-06
8.886234356302e-07 8.886234356302e-07
8.886234336609e-07 8.886234336609e-07
6.426531237336e-07 6.426531237336e-07
6.426531230779e-07 6.426531230779e-07
6.426529640306e-07 6.426529640306e-07
6.426529634295e-07 6.426529634295e-07
5.175114972082e-07 5.175114972082e-07
5.175114971327e-07 5.175114971327e-07
5.130285480336e-07 5.130285480335e-07
5.130285479856e-07 5.130285479856e-07
2.325001522720e-07 2.325001522720e-07
1.474625260258e-07 1.474625260258e-07
1.471923156124e-07 1.471923156124e-07
1.444791424464e-07 1.444791424464e-07
1.444791420824e-07 1.444791420824e-07
1.433163748551e-07 1.433163748551e-07
1.433163748542e-07 1.433163748542e-07
1.432317898071e-07 1.432317898071e-07
1.432317897995e-07 1.432317897995e-07
1.406908884319e-07 1.406908884319e-07
7.435864156279e-08 7.435864156279e-08
7.435848814601e-08 7.435848814601e-08
7.435842090514e-08 7.435842090514e-08
7.435826730784e-08 7.435826730784e-08
7.435562979890e-08 7.435562979890e-08
7.435541220678e-08 7.435541220678e-08
7.435540191099e-08 7.435540191099e-08
7.435518433827e-08 7.435518433827e-08
8.704318947917e-09 8.704318947917e-09
8.587437823282e-09 8.587437823282e-09
8.587416688698e-09 8.587416688698e-09
8.587276958003e-09 8.587276958003e-09
2.105174195981e-09 2.105174195981e-09
1.840478088859e-09 1.840478088859e-09
1.840478087881e-09 1.840478087881e-09
1.829817217601e-09 1.829817217601e-09
1.829817217588e-09 1.829817217588e-09
1.253743337407e-09 1.253743337407e-09
1.227428923287e-09 1.227428923287e-09
1.227428923105e-09 1.227428923105e-09
1.216896210300e-09 1.216896210300e-09
1.176327289173e-09 1.176327289173e-09
7.747863932231e-10 7.747863932231e-10
7.747863929658e-10 7.747863929658e-10
7.212155291965e-10 7.212155291965e-10
7.212155291381e-10 7.212155291381e-10
6.253470528527e-10 6.253470528527e-10
5.969877335062e-10 5.969877335062e-10
5.969877305405e-10 5.969877305405e-10
5.686357833210e-10 5.686357833210e-10
1.298552317922e-10 1.298552316374e-10
1.166135280955e-10 1.166135280552e-10
