#lambda_l=1.043334402200e+00, lambda_r=1.043334402200e+00
1.000000000000e+00 1.000000000000e+00
1.727034724956e-02 1.727034724956e-02
1.727034724956e-02 1.727034724956e-02
1.847350579565e-03 1.847350579565e-03
1.847350579565e-03 1.847350579565e-03
1.077795558548e-03 1.077795558548e-03
1.077795558548e-03 1.077795558548e-03
1.068458625052e-03 1.068458625052e-03
1.068458625052e-03 1.068458625052e-03
4.842045479606e-04 4.842045479606e-04
4.842045479606e-04 4.842045479606e-04
2.982648941205e-04 2.982648941205e-04
3.190438600077e-05 3.190438600077e-05
3.190438600077e-05 3.190438600077e-05
1.861390356016e-05 1.861390356016e-05
1.861390356016e-05 1.861390356016e-05
1.845265147644e-05 1.845265147644e-05
1.845265147644e-05 1.845265147644e-05
8.362380683097e-06 8.362380683097e-06
8.362380683097e-06 8.362380683097e-06
3.412704163818e-06 3.412704163818e-06
1.991066249736e-06 1.991066249736e-06
1.991066249736e-06 1.991066249736e-06
1.973817660231e-06 1.973817660231e-06
1.973817660231e-06 1.973817660231e-06
1.161643266026e-06 1.161643266026e-06
1.151579960574e-06 1.151579960574e-06
1.151579960574e-06 1.151579960574e-06
1.141603833448e-06 1.141603833448e-06
8.944955523029e-07 8.944955523029e-07
8.944955523029e-07 8.944955523029e-07
5.218735112206e-07 5.218735112206e-07
5.218735112206e-07 5.218735112206e-07
5.173525255580e-07 5.173525255580e-07
5.173525255580e-07 5.173525255580e-07
2.344540442657e-07 2.344540442657e-07
#lambda_l=1.043334402200e+00, lambda_r=1.043334402200e+00
1.000000000000e+00 1.000000000000e+00
1.727034724956e-02 1.727034724956e-02
1.727034724956e-02 1.727034724956e-02
1.847350579565e-03 1.847350579565e-03
1.847350579565e-03 1.847350579565e-03
1.077795558548e-03 1.077795558548e-03
1.077795558548e-03 1.077795558548e-03
1.068458625052e-03 1.068458625052e-03
1.068458625052e-03 1.068458625052e-03
4.842045479606e-04 4.842045479606e-04
4.842045479606e-04 4.842045479606e-04
2.982648941205e-04 2.982648941205e-04
3.190438600077e-05 3.190438600077e-05
3.190438600077e-05 3.190438600077e-05
1.861390356016e-05 1.861390356016e-05
1.861390356016e-05 1.861390356016e-05
1.845265147644e-05 1.845265147644e-05
1.845265147644e-05 1.845265147644e-05
8.362380683098e-06 8.362380683098e-06
8.362380683098e-06 8.362380683097e-06
3.412704163818e-06 3.412704163818e-06
1.991066249736e-06 1.991066249736e-06
1.991066249736e-06 1.991066249736e-06
1.973817660231e-06 1.973817660231e-06
1.973817660231e-06 1.973817660231e-06
1.161643266026e-06 1.161643266026e-06
1.151579960574e-06 1.151579960574e-06
1.151579960574e-06 1.151579960574e-06
1.141603833448e-06 1.141603833448e-06
8.944955523029e-07 8.944955523029e-07
8.944955523029e-07 8.944955523029e-07
5.218735112207e-07 5.218735112207e-07
5.218735112207e-07 5.218735112207e-07
5.173525255580e-07 5.173525255580e-07
5.173525255580e-07 5.173525255580e-07
2.344540442657e-07 2.344540442657e-07
