#lambda_l=8.527295169138e-01, lambda_r=8.527295169138e-01
1.000000000000e+00 1.000000000000e+00
1.727045821704e-02 1.727045821704e-02
1.727045821704e-02 1.727045821704e-02
1.847362678130e-03 1.847362678130e-03
1.847362678130e-03 1.847362678130e-03
1.077802657581e-03 1.077802657581e-03
1.077802657581e-03 1.077802657581e-03
1.068465664807e-03 1.068465664807e-03
1.068465664807e-03 1.068465664807e-03
4.842077765007e-04 4.842077765007e-04
4.842077760332e-04 4.842077760332e-04
2.982687270469e-04 2.982687270469e-04
3.190479987620e-05 3.190479987620e-05
3.190479987620e-05 3.190479987620e-05
1.861414567698e-05 1.861414567698e-05
1.861414567698e-05 1.861414567698e-05
1.845289153419e-05 1.845289153419e-05
1.845289153419e-05 1.845289153419e-05
8.362490131112e-06 8.362490131112e-06
8.362490131058e-06 8.362490131058e-06
6.954591623080e-06 6.954591623080e-06
6.954591623080e-06 6.954591623080e-06
6.954591623080e-06 6.954591623080e-06
6.954591623080e-06 6.954591623080e-06
3.412757527755e-06 3.412757527755e-06
1.991097440359e-06 1.991097440359e-06
1.991097440359e-06 1.991097440359e-06
1.973848584796e-06 1.973848584796e-06
1.973848584796e-06 1.973848584796e-06
1.161665481874e-06 1.161665481874e-06
1.151601986373e-06 1.151601986373e-06
1.151601986373e-06 1.151601986373e-06
1.141625670863e-06 1.141625670863e-06
8.945096382089e-07 8.945096382089e-07
8.945096382089e-07 8.945096382089e-07
5.218835348054e-07 5.218835348054e-07
5.218835348054e-07 5.218835348054e-07
5.173624634112e-07 5.173624634112e-07
5.173624634112e-07 5.173624634112e-07
2.344585670616e-07 2.344585670616e-07
1.087798498720e-07 1.087798498720e-07
1.087798498720e-07 1.087798498720e-07
1.087798498720e-07 1.087798498720e-07
1.087798498720e-07 1.087798498720e-07
1.087798498720e-07 1.087798498720e-07
1.087798498720e-07 1.087798498720e-07
1.087798498720e-07 1.087798498720e-07
1.087798498720e-07 1.087798498720e-07
1.258295304693e-08 1.258295304693e-08
1.258295304693e-08 1.258295304693e-08
1.258295304693e-08 1.258295304693e-08
1.258295304693e-08 1.258295304693e-08
1.258295301064e-08 1.258295301064e-08
1.258295301064e-08 1.258295301064e-08
1.258295301064e-08 1.258295301064e-08
1.258295301064e-08 1.258295301064e-08
1.701479610151e-09 1.701479610151e-09
1.701479610151e-09 1.701479610151e-09
1.701479610151e-09 1.701479610151e-09
1.701479610151e-09 1.701479610151e-09
1.968161985818e-10 1.968161985818e-10
1.968161985818e-10 1.968161985818e-10
1.968161985817e-10 1.968161985817e-10
1.968161985817e-10 1.968161985817e-10
1.968161985814e-10 1.968161985814e-10
1.968161985814e-10 1.968161985814e-10
1.968161985813e-10 1.968161985813e-10
1.968161985813e-10 1.968161985813e-10
