#lambda_l=4.328655222984e-03, lambda_r=4.328655222984e-03
1.000000000000e+00 1.000000000000e+00
4.754527183643e-01 4.754527183643e-01
4.754392012992e-01 4.754392012992e-01
4.750788604220e-01 4.750788604220e-01
4.750711242971e-01 4.750711242971e-01
1.605460926610e-01 1.605460926610e-01
1.597460772032e-01 1.597460772032e-01
1.387190042667e-01 1.387190042667e-01
1.387111141922e-01 1.387111141922e-01
1.383690476857e-01 1.383690476857e-01
1.383650181424e-01 1.383650181424e-01
1.361740326870e-01 1.361740326870e-01
1.253871537370e-01 1.253871537370e-01
1.247871834970e-01 1.247871834970e-01
2.996490081867e-02 2.996490081867e-02
2.996132604697e-02 2.996132604697e-02
2.991342819188e-02 2.991342819188e-02
2.991113901850e-02 2.991113901850e-02
2.989480603449e-02 2.989480603449e-02
2.985695638152e-02 2.985695638152e-02
2.976308153842e-02 2.976308153842e-02
2.970407060526e-02 2.970407060526e-02
2.506373492573e-02 2.506373492573e-02
2.506180206442e-02 2.506180206442e-02
2.502372116303e-02 2.502372116303e-02
2.502309443511e-02 2.502309443511e-02
2.334954542210e-02 2.334954542210e-02
2.333740401016e-02 2.333740401016e-02
2.333696065291e-02 2.333696065291e-02
2.331789066334e-02 2.331789066334e-02
2.097807635954e-02 2.097807635954e-02
2.074520012854e-02 2.074520012854e-02
9.192592497101e-03 9.192592497101e-03
9.187141322082e-03 9.187141322082e-03
9.177471918779e-03 9.177471918779e-03
9.176237765833e-03 9.176237765833e-03
8.972551432771e-03 8.972551432771e-03
8.971455750619e-03 8.971455750619e-03
8.921839536642e-03 8.921839536642e-03
8.910707158430e-03 8.910707158430e-03
6.028118839218e-03 6.028118839218e-03
5.505369650454e-03 5.505369650454e-03
5.469553064862e-03 5.469553064862e-03
5.467401088343e-03 5.467401088343e-03
5.463968536395e-03 5.463968536395e-03
5.442761665205e-03 5.442761665205e-03
5.378048295957e-03 5.378048295957e-03
5.376255411124e-03 5.376255411124e-03
4.908336667465e-03 4.908336667465e-03
