#lambda_l=1.044533137529e+00, lambda_r=1.044533137529e+00
3.318238666584e-19 3.080488136815e-19
2.548934510311e-19 2.853193798874e-19
2.262221010127e-19 2.619915006536e-19
2.213997563577e-19 1.700365961439e-19
1.467823619894e-19 1.226057435063e-19
1.265499936711e-19 1.134714525168e-19
1.028927811203e-19 9.759597029562e-20
7.132620353220e-20 8.246856608262e-20
5.664889574546e-20 6.077274888776e-20
5.413451199009e-20 5.082295904858e-20
4.102907784863e-20 4.201139050441e-20
2.787313589888e-20 3.450547269113e-20
2.171404787531e-20 3.128420875733e-20
1.853887249121e-20 1.826354664541e-20
1.699606210353e-20 1.516085179981e-20
1.320437672667e-20 1.398210906117e-20
1.056046534630e-20 1.204900673155e-20
1.014189255733e-20 1.015156596956e-20
8.196002160898e-21 9.625263610467e-21
8.046285332068e-21 7.577469335561e-21
7.386456168138e-21 6.885934720877e-21
5.657825058405e-21 6.011457506376e-21
4.968634598195e-21 4.648222229368e-21
4.763130037543e-21 4.144143601896e-21
4.551078827370e-21 3.976927309780e-21
4.311742839756e-21 3.615779327625e-21
3.652617116416e-21 3.427591362740e-21
3.386723522657e-21 2.914404416791e-21
3.063656360704e-21 2.796446850500e-21
3.017409250719e-21 2.788290701799e-21
2.740650353179e-21 2.665190986950e-21
2.738018146856e-21 2.587063997518e-21
2.363484327851e-21 2.537910494075e-21
2.134066565898e-21 2.183551158261e-21
2.111232646173e-21 1.793083740530e-21
2.063898384448e-21 1.756724133392e-21
1.786415538126e-21 1.601235885138e-21
1.627613802624e-21 1.585186784566e-21
1.612650373101e-21 1.576386039470e-21
1.446594697982e-21 1.509563728291e-21
1.347148435653e-21 1.373972166792e-21
1.291986162134e-21 1.278064966913e-21
1.237771612019e-21 1.177888813359e-21
1.203294138394e-21 1.037805541706e-21
1.168221439216e-21 1.015590294410e-21
1.127557276305e-21 9.520196965267e-22
1.007943463663e-21 9.159890368961e-22
1.004286020045e-21 8.084162114911e-22
9.851361245044e-22 7.827521491946e-22
9.627364753772e-22 7.147873375599e-22
8.452629354232e-22 6.792750787682e-22
8.092660129327e-22 6.401401736229e-22
7.608357579889e-22 6.379175975432e-22
7.001596312918e-22 6.202475114449e-22
6.952824187479e-22 5.934354948598e-22
6.667582511977e-22 5.559719889544e-22
5.932809853191e-22 5.443630114722e-22
5.480691943935e-22 5.296501758475e-22
5.448502726279e-22 5.214132143996e-22
5.297608459176e-22 5.071327118124e-22
4.605344103800e-22 4.849794532653e-22
4.396768145425e-22 4.668426979922e-22
4.305301337822e-22 4.518469690386e-22
4.137824148176e-22 4.493381437541e-22
4.020344943991e-22 4.311756375235e-22
3.868917361270e-22 4.289108189679e-22
3.700436969314e-22 4.188383679203e-22
3.654692321281e-22 3.915610871479e-22
3.288296351840e-22 3.736027854402e-22
3.258639041024e-22 3.707154044345e-22
3.078713581399e-22 3.387970982861e-22
2.977074997869e-22 3.279720043735e-22
2.829907456933e-22 3.062131504563e-22
2.569653469352e-22 2.989307407914e-22
2.517211605964e-22 2.888233403956e-22
2.379744089842e-22 2.738411030713e-22
2.251908193528e-22 2.638857512259e-22
2.239490722692e-22 2.625057045689e-22
2.170060050024e-22 2.511963464371e-22
2.135430286301e-22 2.395789818961e-22
2.072671721855e-22 2.294139347541e-22
2.041159269504e-22 2.245225376523e-22
2.013191931235e-22 2.159336022954e-22
1.907252559826e-22 2.045291901765e-22
1.660009023822e-22 1.989455849951e-22
1.641821363925e-22 1.904246020415e-22
1.596759368776e-22 1.851369248915e-22
1.532667668842e-22 1.808742503269e-22
1.495802029773e-22 1.614117238410e-22
1.485917158289e-22 1.597979655528e-22
1.464731687152e-22 1.584906703559e-22
1.439429443338e-22 1.559263354379e-22
1.347811398614e-22 1.541181560779e-22
1.283014941701e-22 1.436746751099e-22
1.271200480028e-22 1.428402176266e-22
1.224668688778e-22 1.391699640168e-22
1.175250304522e-22 1.339113723014e-22
1.144701849418e-22 1.275970439738e-22
1.139403030393e-22 1.205242627421e-22
1.031385609178e-22 1.183969701389e-22
1.019093955173e-22 1.123415727610e-22
9.409400305733e-23 1.110689724009e-22
8.761805761978e-23 1.051249571234e-22
8.618981798872e-23 1.009104772978e-22
8.274331502318e-23 9.660348381818e-23
7.529538095573e-23 9.340740782504e-23
7.441319287714e-23 8.763175216363e-23
7.214382009351e-23 8.725461422242e-23
6.942000706027e-23 8.618899496172e-23
6.679392027179e-23 8.568803798728e-23
6.259131550518e-23 8.521770799583e-23
6.127107737490e-23 8.054954671352e-23
5.808758221982e-23 7.822403638649e-23
5.780019831651e-23 7.630170965766e-23
5.640180170543e-23 7.039242106642e-23
