#lambda_l=3.163953430315e-03, lambda_r=3.163953430315e-03
1.000000000000e+00 1.000000000000e+00
5.375511304111e-01 5.375511304111e-01
5.375397638133e-01 5.375397638133e-01
5.371569244500e-01 5.371569244500e-01
5.371547773585e-01 5.371547773585e-01
2.145560016572e-01 2.145560016572e-01
2.135509581221e-01 2.135509581221e-01
1.809702151645e-01 1.809702151645e-01
1.809658901220e-01 1.809658901220e-01
1.807390892393e-01 1.807390892393e-01
1.807298918169e-01 1.807298918169e-01
1.763380380450e-01 1.763380380450e-01
1.612136779034e-01 1.612136779034e-01
1.605855563862e-01 1.605855563862e-01
4.360720751382e-02 4.360720751382e-02
4.356292252743e-02 4.356292252743e-02
4.349838960171e-02 4.349838960171e-02
4.340709858624e-02 4.340709858624e-02
4.329597428322e-02 4.329597428322e-02
4.328890528958e-02 4.328890528958e-02
4.324259338102e-02 4.324259338102e-02
4.323760371010e-02 4.323760371010e-02
3.602092660373e-02 3.602092660373e-02
3.601901456317e-02 3.601901456317e-02
3.597429711299e-02 3.597429711299e-02
3.597204622650e-02 3.597204622650e-02
3.312488600378e-02 3.312488600378e-02
3.312452133854e-02 3.312452133854e-02
3.311907818693e-02 3.311907818693e-02
3.309868987487e-02 3.309868987487e-02
2.178504436910e-02 2.178504436910e-02
2.136507041545e-02 2.136507041545e-02
1.267754538306e-02 1.267754538306e-02
1.265319207164e-02 1.265319207164e-02
1.264411885861e-02 1.264411885861e-02
1.264155554618e-02 1.264155554618e-02
1.236317181211e-02 1.236317181211e-02
1.236064754437e-02 1.236064754437e-02
1.232431878897e-02 1.232431878897e-02
1.229033802966e-02 1.229033802966e-02
1.045272454774e-02 1.045272454774e-02
9.279547444328e-03 9.279547444328e-03
9.159947597461e-03 9.159947597461e-03
8.860920300546e-03 8.860920300546e-03
8.856577829681e-03 8.856577829681e-03
8.623713110501e-03 8.623713110501e-03
8.620021104266e-03 8.620021104266e-03
8.338430388978e-03 8.338430388978e-03
7.669809919237e-03 7.669809919237e-03
7.461611237883e-03 7.461611237883e-03
7.108589926777e-03 7.108589926777e-03
7.099504812725e-03 7.099504812725e-03
6.339025329434e-03 6.339025329434e-03
6.302391872779e-03 6.302391872779e-03
6.213890405689e-03 6.213890405689e-03
6.160730344896e-03 6.160730344896e-03
6.150023290203e-03 6.150023290203e-03
6.149766484531e-03 6.149766484531e-03
6.015158153920e-03 6.015158153920e-03
5.989176397346e-03 5.989176397346e-03
5.950330582125e-03 5.950330582125e-03
5.678558941193e-03 5.678558941193e-03
5.632309332348e-03 5.632309332348e-03
5.626718782409e-03 5.626718782409e-03
5.581284467218e-03 5.581284467218e-03
4.876033764638e-03 4.876033764638e-03
4.779506609486e-03 4.779506609486e-03
4.776798846510e-03 4.776798846510e-03
4.773250222938e-03 4.773250222938e-03
4.720909160240e-03 4.720909160240e-03
4.702698523953e-03 4.702698523953e-03
4.556664634297e-03 4.556664634297e-03
4.536515467354e-03 4.536515467354e-03
4.481652259554e-03 4.481652259554e-03
4.367595840522e-03 4.367595840522e-03
4.356871775625e-03 4.356871775625e-03
3.915349332528e-03 3.915349332528e-03
3.888391061148e-03 3.888391061148e-03
3.809225163341e-03 3.809225163341e-03
3.736920911612e-03 3.736920911612e-03
3.731111079594e-03 3.731111079594e-03
3.717363578553e-03 3.717363578553e-03
3.715376500196e-03 3.715376500196e-03
3.713367718390e-03 3.713367718390e-03
3.350926132106e-03 3.350926132106e-03
3.297258069717e-03 3.297258069717e-03
3.009771866350e-03 3.009771866350e-03
2.499974176844e-03 2.499974176844e-03
2.490260290440e-03 2.490260290440e-03
2.489161296603e-03 2.489161296603e-03
2.472531891992e-03 2.472531891992e-03
2.423083074291e-03 2.423083074291e-03
2.404785445851e-03 2.404785445851e-03
2.292798102234e-03 2.292798102234e-03
2.280269266837e-03 2.280269266837e-03
