#lambda_l=1.772394361520e-02, lambda_r=1.772394361520e-02
1.000000000000e+00 1.000000000000e+00
2.867430838104e-01 2.867430838104e-01
2.867422178365e-01 2.867422178365e-01
2.867379456860e-01 2.867379456860e-01
2.867373006713e-01 2.867373006713e-01
3.749396307253e-02 3.749396307253e-02
3.742582350499e-02 3.742582350499e-02
3.280462630703e-02 3.280462630703e-02
3.280457593799e-02 3.280457593799e-02
3.277273368975e-02 3.277273368975e-02
3.277249908933e-02 3.277249908933e-02
3.188069844271e-02 3.188069844271e-02
3.005120483871e-02 3.005120483871e-02
3.004559347393e-02 3.004559347393e-02
1.613460873667e-02 1.613460873667e-02
1.610238684250e-02 1.610238684250e-02
5.703457289096e-03 5.703457289096e-03
5.703389722209e-03 5.703389722209e-03
5.703313690094e-03 5.703313690094e-03
5.703298043240e-03 5.703298043240e-03
5.691452192717e-03 5.691452192717e-03
5.691428975576e-03 5.691428975576e-03
5.691362396730e-03 5.691362396730e-03
5.691337311105e-03 5.691337311105e-03
3.484802379621e-03 3.484802379621e-03
3.484653377282e-03 3.484653377282e-03
2.060392112740e-03 2.060392112740e-03
2.059741173647e-03 2.059741173647e-03
2.058920265921e-03 2.058920265921e-03
2.057544029167e-03 2.057544029167e-03
1.438254492802e-03 1.438254492802e-03
1.438165461434e-03 1.438165461434e-03
1.437724188543e-03 1.437724188543e-03
1.437618835417e-03 1.437618835417e-03
1.315631924011e-03 1.315631924011e-03
1.315552199953e-03 1.315552199953e-03
1.315529194625e-03 1.315529194625e-03
1.315518925247e-03 1.315518925247e-03
1.302390979808e-03 1.302390979808e-03
1.272994456174e-03 1.272994456174e-03
1.272864695090e-03 1.272864695090e-03
1.271834704024e-03 1.271834704024e-03
1.271763773882e-03 1.271763773882e-03
1.252545192543e-03 1.252545192543e-03
1.252087709706e-03 1.252087709706e-03
1.251963955474e-03 1.251963955474e-03
1.251910069759e-03 1.251910069759e-03
1.065887093924e-03 1.065887093924e-03
1.065036780531e-03 1.065036780531e-03
9.988990449844e-04 9.988990449844e-04
9.983144163303e-04 9.983144163303e-04
9.913109675772e-04 9.913109675772e-04
9.912201177371e-04 9.912201177371e-04
9.522122294271e-04 9.522122294271e-04
9.521402048826e-04 9.521402048826e-04
8.258893204231e-04 8.258893204231e-04
7.985392392138e-04 7.985392392138e-04
7.983940132657e-04 7.983940132657e-04
7.982469092083e-04 7.982469092083e-04
7.979625392680e-04 7.979625392680e-04
7.926117144207e-04 7.926117144207e-04
7.919588590825e-04 7.919588590825e-04
7.473923748289e-04 7.473923748289e-04
5.509197379675e-04 5.509197379675e-04
5.028503214044e-04 5.028503214044e-04
2.687017399667e-04 2.687017399667e-04
2.155677285173e-04 2.155677285173e-04
2.022876971981e-04 2.022876971981e-04
1.862857371044e-04 1.862857371044e-04
1.862852461539e-04 1.862852461539e-04
1.719332071231e-04 1.719332071231e-04
1.719223355455e-04 1.719223355455e-04
1.697537976484e-04 1.697537976484e-04
1.564025467045e-04 1.564025467045e-04
1.563855036831e-04 1.563855036831e-04
1.019966574105e-04 1.019966574105e-04
1.018595036534e-04 1.018595036534e-04
1.017984401093e-04 1.017984401093e-04
1.017983929975e-04 1.017983929975e-04
9.981519282369e-05 9.981519282369e-05
9.963864296995e-05 9.963864296995e-05
