#lambda_l=9.514552661389e-02, lambda_r=9.514552661389e-02
1.000000000000e+00 1.000000000000e+00
8.187272149613e-02 8.187272149613e-02
8.187272129768e-02 8.187272129768e-02
8.187270940627e-02 8.187270940627e-02
8.187270940484e-02 8.187270940484e-02
1.631305389378e-02 1.631305389378e-02
1.631304101585e-02 1.631304101585e-02
3.398280163595e-03 3.398280163595e-03
3.398279821254e-03 3.398279821254e-03
1.578245212124e-03 1.578245212124e-03
1.578245211936e-03 1.578245211936e-03
1.578244527167e-03 1.578244527167e-03
1.578244523617e-03 1.578244523617e-03
1.578244260092e-03 1.578244260092e-03
1.578244259774e-03 1.578244259774e-03
1.578243572345e-03 1.578243572345e-03
1.578243569143e-03 1.578243569143e-03
1.144363088280e-03 1.144363088280e-03
1.143724102124e-03 1.143724102124e-03
1.086988438271e-03 1.086988438271e-03
1.086987874463e-03 1.086987874463e-03
1.082537233096e-03 1.082537233096e-03
1.082537232939e-03 1.082537232939e-03
1.082293631446e-03 1.082293631446e-03
1.082293631203e-03 1.082293631203e-03
1.050221646641e-03 1.050221646641e-03
9.683952704852e-04 9.683952704852e-04
9.683952645781e-04 9.683952645781e-04
9.252344717610e-04 9.252344717610e-04
9.252344706485e-04 9.252344706485e-04
4.957783953527e-04 4.957783953527e-04
4.951460510570e-04 4.951460510570e-04
3.460893749530e-04 3.460893749530e-04
3.460893709672e-04 3.460893709672e-04
3.460847749624e-04 3.460847749624e-04
3.460847114975e-04 3.460847114975e-04
3.459383240276e-04 3.459383240276e-04
3.459383159690e-04 3.459383159690e-04
3.459338962901e-04 3.459338962901e-04
3.459338730294e-04 3.459338730294e-04
2.662417122704e-04 2.662417122704e-04
5.548012351114e-05 5.548012351114e-05
5.548012346868e-05 5.548012346868e-05
4.003731783303e-05 4.003731783303e-05
3.618017675326e-05 3.618017675326e-05
3.618017662914e-05 3.618017662914e-05
3.521082899274e-05 3.521082899274e-05
3.521082886810e-05 3.521082886810e-05
3.046049050824e-05 3.046049050824e-05
3.046049014922e-05 3.046049014922e-05
3.046044420979e-05 3.046044420979e-05
3.046044414838e-05 3.046044414838e-05
3.023417976232e-05 3.023417976232e-05
2.979371242659e-05 2.979371242659e-05
2.979362036240e-05 2.979362036240e-05
2.778794830117e-05 2.778794830117e-05
1.664008116819e-05 1.664008116819e-05
1.582405549630e-05 1.582405549630e-05
1.582405258839e-05 1.582405258839e-05
1.511952489075e-05 1.511952489075e-05
1.511952218881e-05 1.511952218881e-05
1.366937656751e-05 1.366937656751e-05
1.366937613367e-05 1.366937613367e-05
1.280951139678e-05 1.280951139678e-05
1.280951103018e-05 1.280951103018e-05
1.208911008098e-05 1.208911008098e-05
1.157570647052e-05 1.157570647052e-05
1.136105409430e-05 1.136105409430e-05
1.136105166144e-05 1.136105166144e-05
1.097325756134e-05 1.097325756134e-05
8.105978740602e-06 8.105978740602e-06
8.097861426954e-06 8.097861426954e-06
6.755981316325e-06 6.755981316325e-06
6.755974894846e-06 6.755974894846e-06
6.755657273844e-06 6.755657273844e-06
6.755644594078e-06 6.755644594078e-06
6.753778365288e-06 6.753778365288e-06
6.753772203798e-06 6.753772203798e-06
6.753453821154e-06 6.753453821154e-06
6.753440040016e-06 6.753440040016e-06
5.708721546444e-06 5.708721546444e-06
5.708717293776e-06 5.708717293776e-06
5.708716841463e-06 5.708716841463e-06
5.708702392274e-06 5.708702392274e-06
5.705982999726e-06 5.705982999726e-06
5.705978076502e-06 5.705978076502e-06
5.705977724365e-06 5.705977724365e-06
5.705963348219e-06 5.705963348219e-06
3.306451786728e-06 3.306451786728e-06
3.306448601004e-06 3.306448601004e-06
3.160065870688e-06 3.160065870688e-06
3.160060471088e-06 3.160060471088e-06
3.045116864350e-06 3.045116864350e-06
3.045108744807e-06 3.045108744807e-06
3.045017256597e-06 3.045017256597e-06
3.045014360768e-06 3.045014360768e-06
2.228434541025e-06 2.228434541025e-06
2.205348669253e-06 2.205348669253e-06
2.134345043085e-06 2.134345043085e-06
2.134317170061e-06 2.134317170061e-06
2.134316866143e-06 2.134316866143e-06
2.134313776251e-06 2.134313776251e-06
2.073117921789e-06 2.073117921789e-06
2.073084562069e-06 2.073084562069e-06
1.843213251208e-06 1.843213251208e-06
1.843194100381e-06 1.843194100381e-06
1.843097060718e-06 1.843097060718e-06
1.843086685667e-06 1.843086685667e-06
1.827475095685e-06 1.827475095685e-06
1.827472637445e-06 1.827472637445e-06
1.827472284449e-06 1.827472284449e-06
1.827470300395e-06 1.827470300395e-06
1.801071835881e-06 1.801071835881e-06
1.800999687329e-06 1.800999687329e-06
1.800867492470e-06 1.800867492470e-06
1.800864127696e-06 1.800864127696e-06
1.769911505183e-06 1.769911505183e-06
1.769773822689e-06 1.769773822689e-06
1.753415297248e-06 1.753415297248e-06
1.753335868929e-06 1.753335868929e-06
1.702022400327e-06 1.702022400327e-06
