#lambda_l=1.397395612805e-03, lambda_r=1.397395612805e-03
1.000000000000e+00 1.000000000000e+00
6.925456462987e-01 6.925456462987e-01
6.910142176193e-01 6.910142176193e-01
5.097072884114e-01 5.097072884114e-01
5.055648900647e-01 5.055648900647e-01
4.982047686067e-01 4.982047686067e-01
4.754714111979e-01 4.754714111979e-01
4.326989973489e-01 4.326989973489e-01
3.783375184020e-01 3.783375184020e-01
3.781178945710e-01 3.781178945710e-01
3.622324588356e-01 3.622324588356e-01
3.605507811351e-01 3.605507811351e-01
3.578378847558e-01 3.578378847558e-01
3.401621965305e-01 3.401621965305e-01
3.137566859412e-01 3.137566859412e-01
3.091098695733e-01 3.091098695733e-01
3.027759399129e-01 3.027759399129e-01
3.008223722085e-01 3.008223722085e-01
2.996777516037e-01 2.996777516037e-01
2.983237252673e-01 2.983237252673e-01
2.878413406610e-01 2.878413406610e-01
2.656977327045e-01 2.656977327045e-01
2.632711351094e-01 2.632711351094e-01
2.402467119962e-01 2.402467119962e-01
2.295405186916e-01 2.295405186916e-01
2.216430629133e-01 2.216430629133e-01
2.188430839420e-01 2.188430839420e-01
2.142246312792e-01 2.142246312792e-01
2.098145778800e-01 2.098145778800e-01
2.087549908865e-01 2.087549908865e-01
2.056018134382e-01 2.056018134382e-01
2.050239625853e-01 2.050239625853e-01
2.030622750474e-01 2.030622750474e-01
1.902769574897e-01 1.902769574897e-01
1.881656736020e-01 1.881656736020e-01
1.858638055370e-01 1.858638055370e-01
1.858597754769e-01 1.858597754769e-01
1.782225465622e-01 1.782225465622e-01
1.680530640626e-01 1.680530640626e-01
1.674281765464e-01 1.674281765464e-01
1.651383305579e-01 1.651383305579e-01
1.620701672462e-01 1.620701672462e-01
1.607761885350e-01 1.607761885350e-01
1.597615646762e-01 1.597615646762e-01
1.583761910513e-01 1.583761910513e-01
1.518587637914e-01 1.518587637914e-01
1.484481129643e-01 1.484481129643e-01
1.467135365851e-01 1.467135365851e-01
1.461955416646e-01 1.461955416646e-01
1.415093732610e-01 1.415093732610e-01
1.383698782614e-01 1.383698782614e-01
1.342772799284e-01 1.342772799284e-01
1.323463606280e-01 1.323463606280e-01
1.318646868782e-01 1.318646868782e-01
1.313336344658e-01 1.313336344658e-01
1.304408784114e-01 1.304408784114e-01
1.285852038348e-01 1.285852038348e-01
1.268582483077e-01 1.268582483077e-01
1.242196454362e-01 1.242196454362e-01
1.201979298950e-01 1.201979298950e-01
1.183925528225e-01 1.183925528225e-01
1.173918686443e-01 1.173918686443e-01
1.096674220936e-01 1.096674220936e-01
1.055849200366e-01 1.055849200366e-01
1.030437831821e-01 1.030437831821e-01
1.023147182666e-01 1.023147182666e-01
1.020060196916e-01 1.020060196916e-01
9.619967806549e-02 9.619967806549e-02
9.303685799782e-02 9.303685799782e-02
9.298415352991e-02 9.298415352991e-02
9.238525464942e-02 9.238525464942e-02
9.091408941067e-02 9.091408941067e-02
9.057288455037e-02 9.057288455037e-02
9.055193016303e-02 9.055193016303e-02
9.054869483916e-02 9.054869483916e-02
8.996910358341e-02 8.996910358341e-02
8.926501583210e-02 8.926501583210e-02
8.854694064559e-02 8.854694064559e-02
8.764591673589e-02 8.764591673589e-02
8.629545329988e-02 8.629545329988e-02
8.571753177968e-02 8.571753177968e-02
8.510059569170e-02 8.510059569170e-02
7.982984316227e-02 7.982984316227e-02
7.857320172816e-02 7.857320172816e-02
7.410995899033e-02 7.410995899033e-02
7.400651958821e-02 7.400651958821e-02
7.350723165899e-02 7.350723165899e-02
7.224041972207e-02 7.224041972207e-02
7.198263711496e-02 7.198263711496e-02
7.051740754622e-02 7.051740754622e-02
7.040872865786e-02 7.040872865786e-02
7.002909112156e-02 7.002909112156e-02
6.995049082587e-02 6.995049082587e-02
6.602000826352e-02 6.602000826352e-02
6.555154997311e-02 6.555154997311e-02
6.550618907961e-02 6.550618907961e-02
6.497237516624e-02 6.497237516624e-02
6.453425345018e-02 6.453425345018e-02
6.418115167732e-02 6.418115167732e-02
6.368052032391e-02 6.368052032391e-02
6.289933541664e-02 6.289933541664e-02
6.208180723613e-02 6.208180723613e-02
6.107671246753e-02 6.107671246753e-02
6.106419805431e-02 6.106419805431e-02
6.057084430407e-02 6.057084430407e-02
6.025818685420e-02 6.025818685420e-02
5.992741924694e-02 5.992741924694e-02
5.925826056917e-02 5.925826056917e-02
5.860781315231e-02 5.860781315231e-02
5.819851128716e-02 5.819851128716e-02
5.739898645838e-02 5.739898645838e-02
5.707797742855e-02 5.707797742855e-02
5.625884081740e-02 5.625884081740e-02
5.560544829062e-02 5.560544829062e-02
5.504932954930e-02 5.504932954930e-02
5.499873833620e-02 5.499873833620e-02
5.425356835884e-02 5.425356835884e-02
5.417160178703e-02 5.417160178703e-02
5.316909156352e-02 5.316909156352e-02
5.310326020147e-02 5.310326020147e-02
5.307173606224e-02 5.307173606224e-02
5.234888095198e-02 5.234888095198e-02
5.143285357859e-02 5.143285357859e-02
5.139358772089e-02 5.139358772089e-02
5.112152421991e-02 5.112152421991e-02
5.008390044994e-02 5.008390044994e-02
4.985117279215e-02 4.985117279215e-02
4.981759801882e-02 4.981759801882e-02
4.930683221668e-02 4.930683221668e-02
4.925054119673e-02 4.925054119673e-02
4.914725680451e-02 4.914725680451e-02
4.868157031767e-02 4.868157031767e-02
4.859624175164e-02 4.859624175164e-02
4.859503981989e-02 4.859503981989e-02
4.818183873085e-02 4.818183873085e-02
4.762228965820e-02 4.762228965820e-02
4.563425998540e-02 4.563425998540e-02
4.403254594085e-02 4.403254594085e-02
4.393662902620e-02 4.393662902620e-02
4.385558186076e-02 4.385558186076e-02
4.356941749700e-02 4.356941749700e-02
4.332934981996e-02 4.332934981996e-02
4.291734626545e-02 4.291734626545e-02
4.279472510627e-02 4.279472510627e-02
4.247446684091e-02 4.247446684091e-02
4.212755579294e-02 4.212755579294e-02
4.206875149649e-02 4.206875149649e-02
4.154329498899e-02 4.154329498899e-02
4.094046693244e-02 4.094046693244e-02
4.083612641518e-02 4.083612641518e-02
4.050712186270e-02 4.050712186270e-02
4.030496550097e-02 4.030496550097e-02
4.023112881743e-02 4.023112881743e-02
4.013252054037e-02 4.013252054037e-02
4.004031033374e-02 4.004031033374e-02
3.912317358400e-02 3.912317358400e-02
3.853115447078e-02 3.853115447078e-02
3.841903840654e-02 3.841903840654e-02
3.841411691750e-02 3.841411691750e-02
3.795085287015e-02 3.795085287015e-02
3.792599156807e-02 3.792599156807e-02
3.791105246768e-02 3.791105246768e-02
3.763853799194e-02 3.763853799194e-02
3.747767901447e-02 3.747767901447e-02
3.734660967014e-02 3.734660967014e-02
3.718934420446e-02 3.718934420446e-02
3.692311098575e-02 3.692311098575e-02
3.663255810466e-02 3.663255810466e-02
3.621433427527e-02 3.621433427527e-02
3.608023316880e-02 3.608023316880e-02
3.597365494808e-02 3.597365494808e-02
3.581852656058e-02 3.581852656058e-02
3.581688598092e-02 3.581688598092e-02
3.575111238090e-02 3.575111238090e-02
3.573665466910e-02 3.573665466910e-02
3.543575994675e-02 3.543575994675e-02
3.492738175809e-02 3.492738175809e-02
3.469060905382e-02 3.469060905382e-02
3.466356840916e-02 3.466356840916e-02
3.464754827904e-02 3.464754827904e-02
3.410929185995e-02 3.410929185995e-02
3.407782194357e-02 3.407782194357e-02
3.382583117758e-02 3.382583117758e-02
3.336380395675e-02 3.336380395675e-02
3.303509407495e-02 3.303509407495e-02
3.302424416914e-02 3.302424416914e-02
3.295153957456e-02 3.295153957456e-02
3.240788951269e-02 3.240788951269e-02
3.236226012859e-02 3.236226012859e-02
3.221611932357e-02 3.221611932357e-02
3.197177853869e-02 3.197177853869e-02
3.186536428332e-02 3.186536428332e-02
3.183021004685e-02 3.183021004685e-02
3.161147436576e-02 3.161147436576e-02
3.133966279305e-02 3.133966279305e-02
3.126505180514e-02 3.126505180514e-02
3.123306521176e-02 3.123306521176e-02
3.120790135718e-02 3.120790135718e-02
3.117957767717e-02 3.117957767717e-02
3.108426462174e-02 3.108426462174e-02
3.050189189834e-02 3.050189189834e-02
3.047427800661e-02 3.047427800661e-02
3.025510341361e-02 3.025510341361e-02
3.014293773257e-02 3.014293773257e-02
3.011594767035e-02 3.011594767035e-02
3.007479735632e-02 3.007479735632e-02
2.995094759902e-02 2.995094759902e-02
2.995069236668e-02 2.995069236668e-02
2.989148499559e-02 2.989148499559e-02
2.973195293439e-02 2.973195293439e-02
2.967873117124e-02 2.967873117124e-02
2.926465772013e-02 2.926465772012e-02
2.920711037539e-02 2.920711037539e-02
2.914723933983e-02 2.914723933983e-02
2.908916750204e-02 2.908916750204e-02
2.905963158870e-02 2.905963158870e-02
2.899744246386e-02 2.899744246386e-02
2.893313328629e-02 2.893313328629e-02
2.880232298937e-02 2.880232298937e-02
2.873500155769e-02 2.873500155769e-02
2.866472363199e-02 2.866472363199e-02
2.861935282520e-02 2.861935282520e-02
2.848248214909e-02 2.848248214909e-02
2.844486275577e-02 2.844486275577e-02
2.834746532049e-02 2.834746532049e-02
2.826453021848e-02 2.826453021848e-02
2.822107776845e-02 2.822107776845e-02
2.819848435148e-02 2.819848435148e-02
2.811248283924e-02 2.811248283924e-02
2.801929311806e-02 2.801929311806e-02
2.777992194854e-02 2.777992194854e-02
2.763876262800e-02 2.763876262800e-02
2.760072510195e-02 2.760072510195e-02
2.745370444881e-02 2.745370444881e-02
2.727690115663e-02 2.727690115663e-02
2.717519511565e-02 2.717519511565e-02
2.716437802719e-02 2.716437802719e-02
2.693343009405e-02 2.693343009405e-02
2.691319126677e-02 2.691319126677e-02
2.687827118293e-02 2.687827118293e-02
2.687106194412e-02 2.687106194412e-02
2.686092249816e-02 2.686092249816e-02
2.679191306936e-02 2.679191306936e-02
2.673855393021e-02 2.673855393021e-02
2.670077981678e-02 2.670077981678e-02
2.644610439400e-02 2.644610439400e-02
2.643455463613e-02 2.643455463613e-02
2.639473895679e-02 2.639473895679e-02
2.622274961428e-02 2.622274961428e-02
2.618682594440e-02 2.618682594440e-02
2.612129219069e-02 2.612129219069e-02
2.600311441793e-02 2.600311441793e-02
2.593895646702e-02 2.593895646702e-02
2.572492201305e-02 2.572492201305e-02
2.565503822535e-02 2.565503822535e-02
2.565155420284e-02 2.565155420284e-02
2.544341566439e-02 2.544341566439e-02
2.538885555261e-02 2.538885555261e-02
2.538478705456e-02 2.538478705456e-02
2.533067760114e-02 2.533067760114e-02
2.512914221992e-02 2.512914221992e-02
2.506807773347e-02 2.506807773347e-02
2.496880998715e-02 2.496880998715e-02
2.492335148804e-02 2.492335148804e-02
2.482004255824e-02 2.482004255824e-02
2.480044716632e-02 2.480044716632e-02
2.479676329174e-02 2.479676329174e-02
2.472634785067e-02 2.472634785067e-02
2.454257482315e-02 2.454257482315e-02
2.445635336036e-02 2.445635336036e-02
2.444161747082e-02 2.444161747082e-02
2.442660770765e-02 2.442660770765e-02
2.436098641904e-02 2.436098641904e-02
2.409951501195e-02 2.409951501195e-02
2.407132960188e-02 2.407132960188e-02
2.401875932178e-02 2.401875932178e-02
2.400185299064e-02 2.400185299064e-02
2.398458492494e-02 2.398458492494e-02
2.382058250927e-02 2.382058250927e-02
2.370117614680e-02 2.370117614680e-02
2.366822173238e-02 2.366822173238e-02
2.366141415312e-02 2.366141415312e-02
2.365211774860e-02 2.365211774860e-02
2.347430288218e-02 2.347430288218e-02
2.341231859856e-02 2.341231859856e-02
2.339387114644e-02 2.339387114644e-02
2.337694914757e-02 2.337694914757e-02
2.331475205024e-02 2.331475205024e-02
2.311677151382e-02 2.311677151382e-02
2.301109429773e-02 2.301109429773e-02
2.290640500434e-02 2.290640500434e-02
2.287235639635e-02 2.287235639635e-02
2.283647529539e-02 2.283647529539e-02
2.278215243636e-02 2.278215243636e-02
2.275268502075e-02 2.275268502075e-02
2.273285392328e-02 2.273285392328e-02
2.272614601881e-02 2.272614601881e-02
2.267718033851e-02 2.267718033851e-02
2.247424936927e-02 2.247424936927e-02
2.245549592833e-02 2.245549592833e-02
2.242403422881e-02 2.242403422881e-02
2.240307212209e-02 2.240307212209e-02
2.234457509015e-02 2.234457509015e-02
2.231679925973e-02 2.231679925973e-02
2.226142102114e-02 2.226142102114e-02
2.212538240839e-02 2.212538240839e-02
2.200640729436e-02 2.200640729436e-02
2.192423142727e-02 2.192423142727e-02
2.189715414446e-02 2.189715414446e-02
2.186724592740e-02 2.186724592740e-02
2.185915796602e-02 2.185915796602e-02
2.178451308333e-02 2.178451308333e-02
2.176687911763e-02 2.176687911763e-02
2.167908857427e-02 2.167908857427e-02
2.167090815822e-02 2.167090815822e-02
2.145068238118e-02 2.145068238118e-02
2.138675506368e-02 2.138675506368e-02
2.132487255267e-02 2.132487255267e-02
2.132396671492e-02 2.132396671492e-02
2.131768474684e-02 2.131768474684e-02
2.117233767582e-02 2.117233767582e-02
2.110770943478e-02 2.110770943478e-02
2.103748265421e-02 2.103748265421e-02
2.103130670722e-02 2.103130670722e-02
2.099083068358e-02 2.099083068358e-02
2.098738229121e-02 2.098738229121e-02
2.093783832946e-02 2.093783832946e-02
2.092265965268e-02 2.092265965268e-02
2.090643905739e-02 2.090643905739e-02
2.083270484196e-02 2.083270484196e-02
2.061862961227e-02 2.061862961227e-02
2.053147574410e-02 2.053147574410e-02
2.049836484262e-02 2.049836484262e-02
2.048511465922e-02 2.048511465922e-02
2.042061098697e-02 2.042061098697e-02
2.039953377301e-02 2.039953377301e-02
2.039723318330e-02 2.039723318330e-02
2.037970025397e-02 2.037970025397e-02
2.032215245989e-02 2.032215245989e-02
2.031946943723e-02 2.031946943723e-02
2.023005278434e-02 2.023005278434e-02
2.021435786819e-02 2.021435786819e-02
2.010419383245e-02 2.010419383245e-02
2.009323452296e-02 2.009323452296e-02
1.999267771697e-02 1.999267771697e-02
1.988887984527e-02 1.988887984527e-02
1.987944833027e-02 1.987944833027e-02
1.984728426751e-02 1.984728426751e-02
1.971449622465e-02 1.971449622465e-02
1.969250243934e-02 1.969250243934e-02
1.961368976369e-02 1.961368976369e-02
1.952368975815e-02 1.952368975815e-02
1.947514707133e-02 1.947514707133e-02
1.943295169904e-02 1.943295169904e-02
1.942456331276e-02 1.942456331276e-02
1.936761805531e-02 1.936761805531e-02
1.928361053101e-02 1.928361053101e-02
1.928276269281e-02 1.928276269281e-02
1.927911206326e-02 1.927911206326e-02
1.922985916532e-02 1.922985916532e-02
1.917597241542e-02 1.917597241542e-02
1.916292074107e-02 1.916292074107e-02
1.906092181204e-02 1.906092181204e-02
1.895717627530e-02 1.895717627530e-02
1.892695692950e-02 1.892695692950e-02
1.891586586537e-02 1.891586586537e-02
1.890217420009e-02 1.890217420009e-02
1.886136722539e-02 1.886136722539e-02
1.885976211970e-02 1.885976211970e-02
1.883150236569e-02 1.883150236569e-02
1.882951844309e-02 1.882951844309e-02
1.872183667642e-02 1.872183667642e-02
1.861401345618e-02 1.861401345618e-02
1.860482786453e-02 1.860482786453e-02
1.857072694029e-02 1.857072694029e-02
1.856882494128e-02 1.856882494128e-02
1.851725876205e-02 1.851725876205e-02
1.840860244023e-02 1.840860244023e-02
1.835432345173e-02 1.835432345173e-02
1.829902010720e-02 1.829902010720e-02
1.829322559190e-02 1.829322559190e-02
1.822066921884e-02 1.822066921884e-02
1.809043763034e-02 1.809043763034e-02
1.801212624855e-02 1.801212624855e-02
1.801174764933e-02 1.801174764933e-02
1.797690282968e-02 1.797690282968e-02
1.795945284124e-02 1.795945284124e-02
1.789392552690e-02 1.789392552690e-02
1.789124403846e-02 1.789124403846e-02
1.787532313541e-02 1.787532313541e-02
1.786108804825e-02 1.786108804825e-02
1.782558649829e-02 1.782558649829e-02
1.772498807761e-02 1.772498807761e-02
1.770987670561e-02 1.770987670561e-02
1.762963267275e-02 1.762963267275e-02
1.759904864730e-02 1.759904864730e-02
1.755591562631e-02 1.755591562631e-02
1.752668697496e-02 1.752668697496e-02
1.749886404337e-02 1.749886404337e-02
1.749457593822e-02 1.749457593822e-02
1.742645955055e-02 1.742645955055e-02
1.739878250232e-02 1.739878250232e-02
1.735170801397e-02 1.735170801397e-02
1.732092702793e-02 1.732092702793e-02
1.730746262963e-02 1.730746262963e-02
1.725028119261e-02 1.725028119261e-02
1.720503858426e-02 1.720503858426e-02
1.719343445985e-02 1.719343445985e-02
1.708569645446e-02 1.708569645446e-02
1.707766653564e-02 1.707766653564e-02
1.707388278788e-02 1.707388278788e-02
1.706383804707e-02 1.706383804707e-02
1.705844236150e-02 1.705844236150e-02
1.700579700168e-02 1.700579700168e-02
1.699170106300e-02 1.699170106300e-02
1.693819715616e-02 1.693819715616e-02
1.692745850393e-02 1.692745850393e-02
1.690896609263e-02 1.690896609263e-02
1.687263640209e-02 1.687263640209e-02
1.685867704702e-02 1.685867704702e-02
1.680474048611e-02 1.680474048611e-02
1.672765693153e-02 1.672765693153e-02
1.664237218992e-02 1.664237218992e-02
1.661233619993e-02 1.661233619993e-02
1.656322865654e-02 1.656322865654e-02
1.652715686616e-02 1.652715686616e-02
1.652362055006e-02 1.652362055006e-02
1.651136743400e-02 1.651136743400e-02
1.647490562494e-02 1.647490562494e-02
1.646108504919e-02 1.646108504919e-02
1.637745779822e-02 1.637745779822e-02
1.633350475705e-02 1.633350475705e-02
1.630751266451e-02 1.630751266451e-02
1.626435737732e-02 1.626435737732e-02
1.622728892296e-02 1.622728892296e-02
1.618444285652e-02 1.618444285652e-02
1.609811491295e-02 1.609811491295e-02
1.600239434508e-02 1.600239434508e-02
1.596894553393e-02 1.596894553393e-02
1.596447624131e-02 1.596447624131e-02
1.595269143277e-02 1.595269143277e-02
1.591577554763e-02 1.591577554763e-02
1.589878428963e-02 1.589878428963e-02
1.589741125945e-02 1.589741125945e-02
1.587535676147e-02 1.587535676147e-02
1.581735930020e-02 1.581735930020e-02
1.575679767329e-02 1.575679767329e-02
1.575365632036e-02 1.575365632036e-02
1.570601876467e-02 1.570601876467e-02
1.569561745146e-02 1.569561745146e-02
1.566695008438e-02 1.566695008438e-02
1.560476065827e-02 1.560476065827e-02
1.559140031779e-02 1.559140031779e-02
1.554922843511e-02 1.554922843511e-02
1.554124481794e-02 1.554124481794e-02
1.553397281138e-02 1.553397281138e-02
1.550141458178e-02 1.550141458178e-02
1.547512229446e-02 1.547512229446e-02
1.541283928579e-02 1.541283928579e-02
1.540028701874e-02 1.540028701874e-02
1.538747645885e-02 1.538747645885e-02
1.532301439444e-02 1.532301439444e-02
1.532125266609e-02 1.532125266609e-02
1.528329305726e-02 1.528329305726e-02
1.527262914228e-02 1.527262914228e-02
1.522446610717e-02 1.522446610717e-02
1.514888529594e-02 1.514888529594e-02
1.510780057017e-02 1.510780057017e-02
1.508925204068e-02 1.508925204068e-02
1.507291918844e-02 1.507291918844e-02
1.502823561053e-02 1.502823561053e-02
1.502751499648e-02 1.502751499648e-02
1.501507539713e-02 1.501507539713e-02
1.501277603450e-02 1.501277603450e-02
1.499580887700e-02 1.499580887700e-02
1.491968450253e-02 1.491968450253e-02
1.491789827161e-02 1.491789827161e-02
1.486764351784e-02 1.486764351784e-02
1.482586449560e-02 1.482586449560e-02
1.481911288099e-02 1.481911288099e-02
1.480215722776e-02 1.480215722776e-02
1.476810257317e-02 1.476810257317e-02
1.472654448812e-02 1.472654448812e-02
1.469843089907e-02 1.469843089907e-02
1.465084057188e-02 1.465084057188e-02
1.464591134847e-02 1.464591134847e-02
1.460365784860e-02 1.460365784860e-02
1.453332894053e-02 1.453332894053e-02
1.452734627804e-02 1.452734627804e-02
1.452164397922e-02 1.452164397922e-02
1.452120105061e-02 1.452120105061e-02
1.448637946620e-02 1.448637946620e-02
1.447345973078e-02 1.447345973078e-02
1.446010617420e-02 1.446010617420e-02
1.443689453276e-02 1.443689453276e-02
1.440900633042e-02 1.440900633042e-02
1.438969839294e-02 1.438969839294e-02
1.438593439431e-02 1.438593439431e-02
1.431034900256e-02 1.431034900256e-02
1.423949115341e-02 1.423949115341e-02
1.419109452122e-02 1.419109452122e-02
1.413876243511e-02 1.413876243511e-02
1.413149091210e-02 1.413149091210e-02
1.409428443179e-02 1.409428443179e-02
1.406116899454e-02 1.406116899454e-02
1.406084912936e-02 1.406084912936e-02
1.403171697888e-02 1.403171697888e-02
1.402073366665e-02 1.402073366665e-02
1.399538517971e-02 1.399538517971e-02
1.392752371334e-02 1.392752371334e-02
1.386569152088e-02 1.386569152088e-02
1.383917639763e-02 1.383917639763e-02
1.382071241464e-02 1.382071241464e-02
1.379627831420e-02 1.379627831420e-02
1.378448462835e-02 1.378448462835e-02
1.377354878107e-02 1.377354878107e-02
1.376179466358e-02 1.376179466358e-02
1.373439137587e-02 1.373439137587e-02
1.370408807195e-02 1.370408807195e-02
1.369823000945e-02 1.369823000945e-02
1.360505989044e-02 1.360505989044e-02
1.357038018398e-02 1.357038018398e-02
1.356913946740e-02 1.356913946740e-02
1.356088982711e-02 1.356088982711e-02
1.354221110484e-02 1.354221110484e-02
1.353579102377e-02 1.353579102377e-02
1.352466798744e-02 1.352466798744e-02
1.348791606562e-02 1.348791606562e-02
1.348352026589e-02 1.348352026589e-02
1.340111985644e-02 1.340111985644e-02
1.336929390212e-02 1.336929390212e-02
1.336561223069e-02 1.336561223069e-02
1.334489097939e-02 1.334489097939e-02
1.334246396920e-02 1.334246396920e-02
1.333898505656e-02 1.333898505656e-02
1.329879595862e-02 1.329879595862e-02
1.329685503290e-02 1.329685503289e-02
1.322699957907e-02 1.322699957907e-02
1.321237633711e-02 1.321237633711e-02
1.320626677322e-02 1.320626677322e-02
1.319389278510e-02 1.319389278510e-02
1.318797466206e-02 1.318797466206e-02
1.317912893005e-02 1.317912893005e-02
1.315718343585e-02 1.315718343585e-02
1.314569198901e-02 1.314569198901e-02
1.308596289837e-02 1.308596289837e-02
1.308383342656e-02 1.308383342656e-02
1.308286186759e-02 1.308286186759e-02
1.304504549790e-02 1.304504549790e-02
1.303288513294e-02 1.303288513294e-02
1.302267966106e-02 1.302267966106e-02
1.297231579135e-02 1.297231579135e-02
1.292486626666e-02 1.292486626666e-02
1.292069015574e-02 1.292069015574e-02
1.286072264855e-02 1.286072264855e-02
1.285476476161e-02 1.285476476161e-02
1.280070387713e-02 1.280070387713e-02
1.277803510800e-02 1.277803510800e-02
1.275658297628e-02 1.275658297628e-02
1.270137620989e-02 1.270137620989e-02
1.269997771355e-02 1.269997771355e-02
1.268617809774e-02 1.268617809774e-02
1.267282000056e-02 1.267282000056e-02
1.264806159488e-02 1.264806159488e-02
1.262970612058e-02 1.262970612058e-02
1.258891766504e-02 1.258891766504e-02
1.255040911298e-02 1.255040911298e-02
1.253349398532e-02 1.253349398532e-02
1.249601347041e-02 1.249601347041e-02
1.248716265188e-02 1.248716265188e-02
1.246883918638e-02 1.246883918638e-02
1.243068894678e-02 1.243068894678e-02
1.238195528457e-02 1.238195528457e-02
1.234447193647e-02 1.234447193647e-02
1.232918675811e-02 1.232918675811e-02
1.232153180279e-02 1.232153180279e-02
1.231418122518e-02 1.231418122518e-02
1.228776548075e-02 1.228776548075e-02
1.228284344040e-02 1.228284344040e-02
1.227403492753e-02 1.227403492753e-02
1.222652911766e-02 1.222652911766e-02
1.220237048436e-02 1.220237048436e-02
1.218877811469e-02 1.218877811469e-02
1.218811940966e-02 1.218811940966e-02
1.217772127435e-02 1.217772127435e-02
1.215550358345e-02 1.215550358345e-02
1.214224149457e-02 1.214224149457e-02
1.211402763549e-02 1.211402763549e-02
1.209097230345e-02 1.209097230345e-02
1.208613183261e-02 1.208613183261e-02
1.207619691450e-02 1.207619691450e-02
1.201742473088e-02 1.201742473088e-02
