#lambda_l=3.367120215765e-01, lambda_r=3.367120215765e-01
1.000000000000e+00 1.000000000000e+00
1.639951311333e-02 1.639951311333e-02
1.639951199181e-02 1.639951199181e-02
6.685794273944e-03 6.685794273944e-03
6.685794273928e-03 6.685794273928e-03
6.685794272968e-03 6.685794272968e-03
6.685794272936e-03 6.685794272936e-03
3.464675745927e-03 3.464675745927e-03
3.464675745834e-03 3.464675745834e-03
9.839228136598e-04 9.839228136598e-04
9.839228136597e-04 9.839228136597e-04
9.400709056576e-04 9.400709056576e-04
9.400709056576e-04 9.400709056576e-04
5.032359584776e-04 5.032359584776e-04
5.032309569104e-04 5.032309569104e-04
2.689486369955e-04 2.689486369955e-04
1.299628507067e-04 1.299628507067e-04
1.299628507050e-04 1.299628507050e-04
1.299628506921e-04 1.299628506921e-04
1.299628506873e-04 1.299628506873e-04
1.299628487376e-04 1.299628487376e-04
1.299628487360e-04 1.299628487360e-04
1.299628487231e-04 1.299628487231e-04
1.299628487184e-04 1.299628487184e-04
5.681968813879e-05 5.681968813879e-05
5.681968813878e-05 5.681968813878e-05
2.715559961215e-05 2.715559961215e-05
2.715559960304e-05 2.715559960304e-05
2.715559949005e-05 2.715559949005e-05
2.715559948262e-05 2.715559948262e-05
2.715430578011e-05 2.715430578011e-05
2.715430576674e-05 2.715430576674e-05
2.715430570822e-05 2.715430570822e-05
2.715430569689e-05 2.715430569689e-05
1.613614562374e-05 1.613614562374e-05
1.613614562347e-05 1.613614562347e-05
1.541698842217e-05 1.541698842217e-05
1.541698842192e-05 1.541698842192e-05
1.200757120564e-05 1.200757120564e-05
8.252988105718e-06 8.252988105718e-06
8.252971392881e-06 8.252971392881e-06
3.410043857804e-06 3.410043857804e-06
3.410043857790e-06 3.410043857790e-06
3.258066257219e-06 3.258066257219e-06
3.258066257202e-06 3.258066257202e-06
2.526918487723e-06 2.526918487723e-06
2.526918486814e-06 2.526918486814e-06
2.526918486568e-06 2.526918486568e-06
2.526918486123e-06 2.526918486123e-06
1.744111652935e-06 1.744111652935e-06
1.744111648226e-06 1.744111648226e-06
1.246747623733e-06 1.246747623733e-06
1.246407466496e-06 1.246407466496e-06
1.210269613679e-06 1.210269613679e-06
1.210269611803e-06 1.210269611803e-06
1.193969990082e-06 1.193969990082e-06
1.193969990056e-06 1.193969990056e-06
1.193792573642e-06 1.193792573642e-06
1.193792573632e-06 1.193792573632e-06
1.160278376036e-06 1.160278376036e-06
9.684356057598e-07 9.684356057598e-07
