#lambda_l=1.044347310927e+00, lambda_r=1.044347310927e+00
1.000000000000e+00 1.000000000000e+00
1.639927319256e-02 1.639927319256e-02
1.639927319256e-02 1.639927319256e-02
3.472889965976e-03 3.472889965976e-03
3.472889965976e-03 3.472889965976e-03
9.896072255360e-04 9.896072255360e-04
9.896072255360e-04 9.896072255360e-04
9.455012386462e-04 9.455012386462e-04
9.455012386462e-04 9.455012386462e-04
5.061342137086e-04 5.061342137086e-04
5.061342137086e-04 5.061342137086e-04
2.689361612443e-04 2.689361612443e-04
5.695287131974e-05 5.695287131974e-05
5.695287131974e-05 5.695287131974e-05
1.622883924490e-05 1.622883924490e-05
1.622883924490e-05 1.622883924490e-05
1.550553311646e-05 1.550553311646e-05
1.550553311646e-05 1.550553311646e-05
1.206096471577e-05 1.206096471577e-05
8.300233242710e-06 8.300233242710e-06
8.300233242710e-06 8.300233242710e-06
3.436797003821e-06 3.436797003821e-06
3.436797003821e-06 3.436797003821e-06
3.283621764512e-06 3.283621764512e-06
3.283621764512e-06 3.283621764512e-06
1.757748432226e-06 1.757748432225e-06
1.757748432225e-06 1.757748432225e-06
9.793224608331e-07 9.793224608331e-07
9.356748575175e-07 9.356748575175e-07
9.356748575175e-07 9.356748575175e-07
8.939725922815e-07 8.939725922815e-07
5.008740749770e-07 5.008740749770e-07
5.008740749770e-07 5.008740749770e-07
4.785505259827e-07 4.785505259827e-07
4.785505259827e-07 4.785505259827e-07
2.561718422864e-07 2.561718422864e-07
1.436180376070e-17 8.366045309246e-18
1.005946877300e-17 8.107630802958e-18
8.744671002457e-18 7.950589284653e-18
7.776312772788e-18 7.543999016382e-18
7.540389465098e-18 6.958512378120e-18
7.061004189909e-18 6.653335787065e-18
6.633769913497e-18 6.515583277643e-18
6.531330989627e-18 5.564461005849e-18
5.731417041628e-18 5.395797698979e-18
4.420798850039e-18 4.990969177809e-18
4.387355576424e-18 4.584325244220e-18
4.194731982527e-18 4.334587789682e-18
3.924874253707e-18 4.166039050793e-18
3.924874253707e-18 4.149393474571e-18
3.924874253707e-18 4.012975319388e-18
3.924874253706e-18 3.924874253707e-18
3.892440936827e-18 3.924874253707e-18
3.879763212200e-18 3.924874253707e-18
3.795789465047e-18 3.924874253707e-18
3.325939643332e-18 3.610846660282e-18
3.181775925629e-18 3.330791351421e-18
3.143901293211e-18 3.196691489479e-18
2.997793257307e-18 3.005229023111e-18
2.781328598057e-18 2.571039347433e-18
2.417267510201e-18 2.460095839516e-18
2.400227639722e-18 2.299416521515e-18
2.113405803825e-18 2.202726791760e-18
1.964539921841e-18 1.831109329612e-18
1.551572354020e-18 1.677440679469e-18
1.460892463692e-18 1.604337865001e-18
1.357247282164e-18 1.528278929649e-18
1.257726065203e-18 1.418527381870e-18
7.794252851597e-19 1.232508392228e-18
6.511943600240e-19 8.593270384263e-19
5.852087239497e-19 7.689591879218e-19
