#lambda_l=5.796817839643e-03, lambda_r=5.796817839643e-03
1.000000000000e+00 1.000000000000e+00
7.620130059709e-01 7.620130059709e-01
7.514847579380e-01 7.514847579380e-01
7.361623602719e-01 7.361623602719e-01
7.346092488534e-01 7.346092488534e-01
5.885121449184e-01 5.885121449184e-01
5.622588103712e-01 5.622588103712e-01
4.509898700548e-01 4.509898700548e-01
4.127512918787e-01 4.127512918787e-01
4.121829044229e-01 4.121829044229e-01
4.120961876330e-01 4.120961876330e-01
4.113435859865e-01 4.113435859865e-01
3.452087499409e-01 3.452087499409e-01
2.947597604122e-01 2.947597604122e-01
2.297633241447e-01 2.297633241447e-01
2.291294973287e-01 2.291294973287e-01
2.286239709822e-01 2.286239709822e-01
2.256487952445e-01 2.256487952445e-01
2.254195675442e-01 2.254195675442e-01
2.252626405516e-01 2.252626405516e-01
2.199670877377e-01 2.199670877377e-01
2.108544673670e-01 2.108544673670e-01
1.584843134675e-01 1.584843134675e-01
1.584106458919e-01 1.584106458919e-01
1.560599460626e-01 1.560599460626e-01
1.555045030697e-01 1.555045030697e-01
1.385505745679e-01 1.385505745679e-01
1.381118400125e-01 1.381118400125e-01
1.355318595949e-01 1.355318595949e-01
1.324803271818e-01 1.324803271818e-01
1.019879895384e-01 1.019879895384e-01
9.457496807161e-02 9.457496807161e-02
8.049336861817e-02 8.049336861817e-02
7.648853510861e-02 7.648853510861e-02
7.554651376334e-02 7.554651376334e-02
7.477700133233e-02 7.477700133233e-02
7.418079430390e-02 7.418079430390e-02
7.404549620015e-02 7.404549620015e-02
7.041254128864e-02 7.041254128864e-02
6.967467197673e-02 6.967467197673e-02
6.927974369514e-02 6.927974369514e-02
6.779433122812e-02 6.779433122812e-02
6.778750704742e-02 6.778750704742e-02
6.636322032547e-02 6.636322032547e-02
6.253653524134e-02 6.253653524134e-02
6.114201222607e-02 6.114201222607e-02
5.727712744898e-02 5.727712744898e-02
4.682042524912e-02 4.682042524912e-02
4.534730511899e-02 4.534730511899e-02
4.414959937296e-02 4.414959937296e-02
4.352996893829e-02 4.352996893829e-02
4.336259440210e-02 4.336259440210e-02
4.288666897034e-02 4.288666897034e-02
3.374794165591e-02 3.374794165591e-02
3.327251819500e-02 3.327251819500e-02
2.725732733712e-02 2.725732733712e-02
2.437695088052e-02 2.437695088052e-02
2.322605132430e-02 2.322605132430e-02
2.248143534732e-02 2.248143534732e-02
2.080835363545e-02 2.080835363545e-02
1.885008437157e-02 1.885008437157e-02
1.759434709542e-02 1.759434709542e-02
1.667378146651e-02 1.667378146651e-02
1.588970091067e-02 1.588970091067e-02
1.582156103730e-02 1.582156103730e-02
1.571607137041e-02 1.571607137041e-02
1.468159153951e-02 1.468159153951e-02
1.460220521499e-02 1.460220521499e-02
1.440813167552e-02 1.440813167552e-02
1.334112428942e-02 1.334112428942e-02
1.255600747709e-02 1.255600747709e-02
1.187270420559e-02 1.187270420559e-02
1.169196221256e-02 1.169196221256e-02
1.160521314844e-02 1.160521314844e-02
1.157556342819e-02 1.157556342819e-02
1.128610561682e-02 1.128610561682e-02
1.128501812520e-02 1.128501812520e-02
1.117331711591e-02 1.117331711591e-02
1.070186690218e-02 1.070186690218e-02
1.068373649446e-02 1.068373649446e-02
1.050622507593e-02 1.050622507593e-02
1.044141064510e-02 1.044141064510e-02
1.024321254419e-02 1.024321254419e-02
9.828168654088e-03 9.828168654088e-03
9.518111794176e-03 9.518111794176e-03
9.418808399011e-03 9.418808399011e-03
9.366145030350e-03 9.366145030350e-03
9.263137940765e-03 9.263137940765e-03
9.050830009321e-03 9.050830009321e-03
8.870338290410e-03 8.870338290410e-03
8.861856640112e-03 8.861856640112e-03
8.726293215273e-03 8.726293215273e-03
8.575641764796e-03 8.575641764796e-03
8.457894713267e-03 8.457894713267e-03
8.418467647483e-03 8.418467647483e-03
8.360513451530e-03 8.360513451530e-03
8.351526048175e-03 8.351526048175e-03
8.178995561043e-03 8.178995561043e-03
8.162700454168e-03 8.162700454168e-03
8.101032745706e-03 8.101032745706e-03
8.049098780187e-03 8.049098780187e-03
8.007004222208e-03 8.007004222208e-03
7.966740754066e-03 7.966740754066e-03
7.576867455893e-03 7.576867455893e-03
7.405665093421e-03 7.405665093421e-03
7.223890965387e-03 7.223890965387e-03
7.214677617816e-03 7.214677617816e-03
7.036501920779e-03 7.036501920779e-03
6.988654699312e-03 6.988654699312e-03
6.927416747505e-03 6.927416747505e-03
6.898593576093e-03 6.898593576093e-03
6.703142124990e-03 6.703142124990e-03
6.649909815775e-03 6.649909815775e-03
6.580151644447e-03 6.580151644447e-03
6.557962904947e-03 6.557962904947e-03
6.309825919830e-03 6.309825919830e-03
6.309613554571e-03 6.309613554571e-03
6.292114467752e-03 6.292114467752e-03
6.261417800244e-03 6.261417800244e-03
6.130063733948e-03 6.130063733948e-03
5.977643493484e-03 5.977643493484e-03
5.854287653680e-03 5.854287653680e-03
5.838302493986e-03 5.838302493986e-03
5.813215098239e-03 5.813215098239e-03
5.745347575826e-03 5.745347575826e-03
5.680876689769e-03 5.680876689769e-03
