#lambda_l=1.017126795781e+00, lambda_r=1.017126795781e+00
1.000000000000e+00 1.000000000000e+00
1.639927319193e-02 1.639927319193e-02
1.639927319193e-02 1.639927319193e-02
3.472890008280e-03 3.472890008280e-03
3.472890008280e-03 3.472890008280e-03
9.896072652985e-04 9.896072652985e-04
9.896072652985e-04 9.896072652985e-04
9.455012766378e-04 9.455012766378e-04
9.455012766378e-04 9.455012766378e-04
5.061342335902e-04 5.061342335902e-04
5.061342335901e-04 5.061342335901e-04
2.689361612237e-04 2.689361612237e-04
5.695287201133e-05 5.695287201133e-05
5.695287201133e-05 5.695287201133e-05
1.622883989626e-05 1.622883989626e-05
1.622883989626e-05 1.622883989626e-05
1.550553373881e-05 1.550553373881e-05
1.550553373881e-05 1.550553373881e-05
1.206096500963e-05 1.206096500963e-05
8.300233568103e-06 8.300233568103e-06
8.300233568103e-06 8.300233568103e-06
3.436797183493e-06 3.436797183493e-06
3.436797183493e-06 3.436797183493e-06
3.283621936180e-06 3.283621936180e-06
3.283621936180e-06 3.283621936180e-06
1.757748521504e-06 1.757748521504e-06
1.757748521504e-06 1.757748521504e-06
9.793227903381e-07 9.793227903381e-07
9.356751723380e-07 9.356751723380e-07
9.356751723380e-07 9.356751723380e-07
8.939728930718e-07 8.939728930718e-07
5.008742427309e-07 5.008742427309e-07
5.008742427309e-07 5.008742427309e-07
4.785506862591e-07 4.785506862591e-07
4.785506862591e-07 4.785506862591e-07
2.561724077691e-07 2.561724077691e-07
1.983537061179e-09 1.983537061179e-09
1.983537061179e-09 1.983537061179e-09
1.983537061179e-09 1.983537061179e-09
1.983537061179e-09 1.983537061179e-09
3.871366016582e-11 3.871366016582e-11
3.871366016582e-11 3.871366016582e-11
3.871366016582e-11 3.871366016582e-11
3.871366016582e-11 3.871366016582e-11
3.871366016582e-11 3.871366016582e-11
3.871366016582e-11 3.871366016582e-11
3.871366016582e-11 3.871366016582e-11
3.871366016582e-11 3.871366016582e-11
8.243642975195e-12 8.243642975195e-12
8.243642975195e-12 8.243642975195e-12
8.243642975195e-12 8.243642975195e-12
8.243642975195e-12 8.243642975195e-12
8.243642975082e-12 8.243642975081e-12
8.243642975081e-12 8.243642975081e-12
8.243642975081e-12 8.243642975081e-12
8.243642975081e-12 8.243642975081e-12
7.555933855867e-13 7.555933855811e-13
7.555933855803e-13 7.555933855780e-13
7.555933855765e-13 7.555933855765e-13
7.555933855758e-13 7.555933855749e-13
1.608951995318e-13 1.608951995215e-13
1.608951995309e-13 1.608951995193e-13
1.608951995305e-13 1.608951995193e-13
1.608951995193e-13 1.608951995193e-13
1.608951995193e-13 1.608951995193e-13
1.608951995193e-13 1.608951995193e-13
1.608951995193e-13 1.608951995169e-13
1.608951995193e-13 1.608951995163e-13
3.426143369451e-14 3.426143351370e-14
3.426143347772e-14 3.426143344852e-14
