#lambda_l=1.044533145797e+00, lambda_r=1.044533145797e+00
1.000000000000e+00 1.000000000000e+00
1.639927319256e-02 1.639927319256e-02
1.639927319256e-02 1.639927319256e-02
3.472889965977e-03 3.472889965977e-03
3.472889965977e-03 3.472889965977e-03
9.896072249320e-04 9.896072249320e-04
9.896072249320e-04 9.896072249320e-04
9.455012380691e-04 9.455012380691e-04
9.455012380691e-04 9.455012380691e-04
5.061342129324e-04 5.061342129324e-04
5.061342129324e-04 5.061342129324e-04
2.689361612443e-04 2.689361612443e-04
5.695287131977e-05 5.695287131977e-05
5.695287131977e-05 5.695287131977e-05
1.622883923499e-05 1.622883923499e-05
1.622883923499e-05 1.622883923499e-05
1.550553310700e-05 1.550553310700e-05
1.550553310700e-05 1.550553310700e-05
1.206096471579e-05 1.206096471579e-05
8.300233229981e-06 8.300233229981e-06
8.300233229981e-06 8.300233229981e-06
3.436797001725e-06 3.436797001725e-06
3.436797001725e-06 3.436797001725e-06
3.283621762509e-06 3.283621762509e-06
3.283621762509e-06 3.283621762509e-06
1.757748429531e-06 1.757748429531e-06
1.757748429531e-06 1.757748429531e-06
9.793224596377e-07 9.793224596377e-07
9.356748563754e-07 9.356748563754e-07
9.356748563754e-07 9.356748563754e-07
8.939725911902e-07 8.939725911902e-07
5.008740739032e-07 5.008740739032e-07
5.008740739032e-07 5.008740739032e-07
4.785505249567e-07 4.785505249567e-07
4.785505249567e-07 4.785505249567e-07
2.561718415007e-07 2.561718415007e-07
1.407099451282e-17 9.623257291757e-18
9.279861380887e-18 7.861451310347e-18
7.590764421653e-18 7.374290121334e-18
6.143280550187e-18 5.814985820850e-18
5.737755197404e-18 5.464613469757e-18
4.906104423201e-18 5.318566168922e-18
4.678554622113e-18 4.975140383024e-18
4.193164483454e-18 4.710011967828e-18
4.033215192302e-18 4.321471246858e-18
3.984414129802e-18 3.876189730820e-18
3.578988331512e-18 3.811087780173e-18
3.412036738910e-18 3.742147752802e-18
3.138548553686e-18 3.670139461122e-18
2.321938306058e-18 3.657839437358e-18
2.054851693749e-18 3.277909861646e-18
2.054465097378e-18 3.063845883228e-18
1.726206890748e-18 2.701887608109e-18
1.604848375112e-18 2.448376096478e-18
1.516836214139e-18 2.097210009925e-18
1.341639267675e-18 2.040188791451e-18
1.263172209067e-18 1.838396900048e-18
1.148220562785e-18 1.755414508109e-18
1.101174673951e-18 1.621002893443e-18
1.031783855168e-18 1.525489631543e-18
9.076039451554e-19 9.957276230229e-19
7.211724900748e-19 8.853167031220e-19
6.310807062065e-19 7.179967138346e-19
6.135478400274e-19 6.373795512146e-19
5.473265456156e-19 5.430831040394e-19
5.010758015486e-19 5.358457961512e-19
3.868743569830e-19 4.053101990644e-19
3.590348017993e-19 3.740987456867e-19
2.564196227971e-19 3.191195133013e-19
2.190655134279e-19 3.042638799093e-19
1.879693450709e-19 2.653334213118e-19
