#lambda_l=1.044533145797e+00, lambda_r=1.044533145797e+00
1.000000000000e+00 1.000000000000e+00
1.639927319256e-02 1.639927319256e-02
1.639927319256e-02 1.639927319256e-02
3.472889965977e-03 3.472889965977e-03
3.472889965977e-03 3.472889965977e-03
9.896072249320e-04 9.896072249320e-04
9.896072249320e-04 9.896072249320e-04
9.455012380691e-04 9.455012380691e-04
9.455012380691e-04 9.455012380691e-04
5.061342129324e-04 5.061342129324e-04
5.061342129324e-04 5.061342129324e-04
2.689361612443e-04 2.689361612443e-04
5.695287131977e-05 5.695287131977e-05
5.695287131977e-05 5.695287131977e-05
1.622883923499e-05 1.622883923499e-05
1.622883923499e-05 1.622883923499e-05
1.550553310700e-05 1.550553310700e-05
1.550553310700e-05 1.550553310700e-05
1.206096471579e-05 1.206096471579e-05
8.300233229981e-06 8.300233229981e-06
8.300233229981e-06 8.300233229981e-06
3.436797001725e-06 3.436797001725e-06
3.436797001725e-06 3.436797001725e-06
3.283621762509e-06 3.283621762509e-06
3.283621762509e-06 3.283621762509e-06
1.757748429531e-06 1.757748429531e-06
1.757748429531e-06 1.757748429531e-06
9.793224596377e-07 9.793224596377e-07
9.356748563754e-07 9.356748563754e-07
9.356748563754e-07 9.356748563754e-07
8.939725911902e-07 8.939725911902e-07
5.008740739032e-07 5.008740739032e-07
5.008740739032e-07 5.008740739032e-07
4.785505249567e-07 4.785505249567e-07
4.785505249567e-07 4.785505249567e-07
2.561718415007e-07 2.561718415007e-07
1.221672047723e-17 1.507825212748e-17
1.068053965196e-17 1.404344181723e-17
1.059235092193e-17 1.288895478366e-17
9.246512325911e-18 8.434818280448e-18
9.085987436598e-18 7.878623700050e-18
8.893379194860e-18 7.055211891651e-18
7.332598780645e-18 5.510117486508e-18
6.428165543095e-18 5.373099096146e-18
6.207467099491e-18 4.976685715053e-18
5.004953229607e-18 4.468193843162e-18
4.609498830393e-18 3.665366182740e-18
4.140120949616e-18 3.506288025579e-18
3.928797815482e-18 3.334582764398e-18
3.837310278292e-18 3.064606732091e-18
3.676064262492e-18 2.796890241891e-18
2.736794422309e-18 2.744517045779e-18
2.640973830637e-18 2.710151504858e-18
2.168797867394e-18 1.972236936494e-18
1.968952032526e-18 1.917194556451e-18
1.946528270227e-18 1.659811576944e-18
1.752694905228e-18 1.529376175060e-18
1.551301145021e-18 1.404124217910e-18
1.431896452239e-18 1.312455865204e-18
1.422911722257e-18 1.288269002668e-18
1.044091232329e-18 1.140867673843e-18
9.691341356577e-19 1.032485937462e-18
7.437887457814e-19 8.716045360002e-19
7.070517851184e-19 8.073882790526e-19
6.618232488846e-19 6.758812670473e-19
5.614309734258e-19 6.727112314545e-19
4.099051618829e-19 5.060310193103e-19
3.793339489352e-19 4.804295030032e-19
3.640041094433e-19 3.895470393653e-19
3.562989502362e-19 3.614680678902e-19
2.535602676093e-19 2.781908442933e-19
